CPU,mitigation,kernel,benchmark,adjusted,mean,median,p1,p25,p50,p75,p99,std,iqr,min,max
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fastcall,noop,False,38.59725835501301,38.0,37.0,37.0,38.0,40.0,43.0,1.7769330270109298,3.0,37,70
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fastcall,fastcall,False,139.12318332163977,138.0,135.0,137.0,138.0,138.0,143.0,110.02232254011523,1.0,134,11126
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fastcall,noop,True,0.5972583550130078,0.0,-1.0,-1.0,0.0,2.0,5.0,1.7769330270109296,3.0,-1.0,32.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fastcall,fastcall,True,101.12318332163977,100.0,97.0,99.0,100.0,100.0,105.0,110.02232254011523,1.0,96.0,11088.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,noop,False,38.615984795438635,38.0,37.0,38.0,38.0,40.0,43.0,1.7348716081652658,2.0,37,62
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,vdso,False,39.66883441720861,39.0,38.0,39.0,39.0,40.0,45.0,1.8404015135185932,1.0,38,118
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,syscall,False,209.94808578873523,210.0,208.0,209.0,210.0,210.0,213.0,1.1630506243138607,1.0,207,261
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,ioctl,False,344.3585076427997,344.0,331.0,340.0,344.0,347.0,355.0,85.11618633971239,7.0,326,8814
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,noop,True,0.6159847954386316,0.0,-1.0,0.0,0.0,2.0,5.0,1.734871608165266,2.0,-1.0,24.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,vdso,True,1.6688344172086043,1.0,0.0,1.0,1.0,2.0,7.0,1.8404015135185932,1.0,0.0,80.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,syscall,True,171.94808578873523,172.0,170.0,171.0,172.0,172.0,175.0,1.1630506243138607,1.0,169.0,223.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=off,fccmp,ioctl,True,306.3585076427997,306.0,293.0,302.0,306.0,309.0,317.0,85.11618633971239,7.0,288.0,8776.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fastcall,noop,False,40.69111466880128,41.0,37.0,40.0,41.0,42.0,43.0,1.7157836245653912,2.0,37,64
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fastcall,fastcall,False,153.03738598777187,153.0,148.0,151.0,153.0,154.0,167.0,3.415015206266567,3.0,143,284
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fastcall,noop,True,-0.30888533119871925,0.0,-4.0,-1.0,0.0,1.0,2.0,1.7157836245653912,2.0,-4.0,23.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fastcall,fastcall,True,112.03738598777187,112.0,107.0,110.0,112.0,113.0,126.0,3.415015206266567,3.0,102.0,243.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fccmp,noop,False,40.11511151115111,40.0,37.0,38.0,40.0,42.0,43.0,1.7379737398299606,4.0,37,70
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fccmp,vdso,False,42.35791474884931,41.0,38.0,39.0,41.0,43.0,45.0,76.17971963524518,4.0,38,5745
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fccmp,syscall,False,1323.2441884176183,1318.0,1309.0,1315.0,1318.0,1322.0,1356.9300000000003,138.8045676866544,7.0,1306,12344
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fccmp,ioctl,False,1557.5707987285964,1545.0,1527.0,1536.0,1545.0,1569.0,1591.0,211.02345590045192,33.0,1519,15349
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fccmp,noop,True,0.1151115111511151,0.0,-3.0,-2.0,0.0,2.0,3.0,1.7379737398299606,4.0,-3.0,30.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,mitigations=auto,fccmp,vdso,True,2.3579147488493097,1.0,-2.0,-1.0,1.0,3.0,5.0,76.17971963524518,4.0,-2.0,5705.0
