noop,vdso,syscall,ioctl
47,52,239,304
49,52,293,422
28,31,219,295
28,31,220,288
28,31,220,288
28,31,217,288
28,31,217,287
28,31,217,288
28,31,217,288
28,31,217,288
28,31,217,288
28,31,220,289
28,31,216,289
28,31,217,289
28,31,220,289
28,31,219,289
28,31,222,289
28,31,220,288
28,31,220,288
28,31,220,288
28,31,220,296
28,31,219,288
28,31,219,288
28,31,220,288
28,31,219,288
28,31,219,288
28,31,217,288
28,31,220,288
28,31,219,289
28,31,219,280
28,31,220,288
28,31,217,288
28,31,220,293
28,31,216,288
28,31,220,288
28,31,219,18446744073709486368
28,31,220,288
28,31,220,288
28,31,220,288
28,31,220,288
28,31,220,288
28,31,219,288
28,31,220,288
28,31,220,288
28,31,216,288
28,31,220,288
28,31,220,288
28,31,219,294
28,31,220,288
28,31,223,288
28,31,220,288
28,31,217,288
28,31,219,289
28,31,220,288
28,31,220,288
28,31,219,288
28,31,220,288
28,31,220,288
28,31,220,280
28,31,220,280
28,31,220,280
28,31,220,280
28,31,220,280
28,31,217,288
28,31,216,280
28,31,220,280
28,31,219,287
28,31,220,280
28,31,220,288
28,31,220,280
28,31,219,280
28,31,220,282
28,31,220,280
28,31,220,280
28,31,222,280
28,31,220,280
28,31,220,280
28,31,220,280
28,31,220,280
28,31,220,18446744073709486360
28,31,220,288
28,30,219,280
28,31,220,280
28,31,220,280
28,31,220,288
28,31,220,280
28,31,220,280
28,31,220,280
28,31,223,288
28,31,220,280
28,31,217,280
28,31,219,280
28,38,220,280
28,31,219,280
28,31,220,280
28,30,219,280
28,31,220,280
28,31,220,280
28,31,219,280
28,31,219,280
28,31,220,288
28,31,220,280
28,30,217,283
28,31,220,280
28,31,219,288
28,31,220,280
33,31,220,280
28,31,220,280
28,31,220,288
28,31,220,280
28,30,219,280
28,30,220,280
28,30,220,280
28,30,219,280
28,30,220,280
28,31,220,280
28,31,220,280
28,31,217,280
28,31,219,280
28,31,220,288
28,38,220,280
28,32,220,280
28,30,220,288
28,31,220,288
28,31,219,288
28,31,220,288
28,31,220,288
28,31,219,288
28,31,220,288
28,31,220,288
28,30,220,288
28,31,219,288
28,31,216,288
28,31,220,288
28,31,219,288
28,32,219,288
28,30,220,288
28,31,220,288
28,31,220,288
28,31,220,288
28,31,220,288
28,31,219,288
28,31,220,288
28,30,219,288
28,31,220,288
28,31,220,288
28,31,220,288
28,31,219,288
28,31,220,288
28,31,219,296
28,30,220,288
28,31,220,288
28,30,220,288
28,30,219,290
28,31,220,288
28,31,220,288
28,31,219,288
28,31,222,288
28,31,220,289
28,31,220,288
28,31,220,288
28,31,220,288
28,31,219,288
28,31,220,289
28,31,220,288
28,31,217,288
28,31,220,288
28,31,219,288
28,31,220,288
28,31,220,288
28,31,219,288
28,31,216,288
28,31,220,288
28,31,219,288
28,31,219,288
28,31,220,288
28,31,220,290
28,31,220,288
28,31,220,288
28,31,217,290
28,31,216,288
28,31,219,288
28,31,220,288
28,31,220,295
28,31,220,288
28,31,220,288
28,31,219,288
28,31,219,287
28,31,219,288
28,31,220,288
28,31,219,288
28,31,219,288
28,31,220,288
28,31,220,288
28,31,217,288
28,31,217,288
28,31,219,288
28,31,220,288
28,31,217,288
28,31,220,288
28,31,219,288
28,31,220,302
28,31,219,288
28,31,219,288
28,31,217,288
28,31,217,288
28,31,216,288
28,31,216,288
28,31,216,288
28,31,217,288
28,31,215,288
28,31,217,288
28,31,217,280
28,31,217,288
28,31,217,280
28,31,216,280
28,31,217,280
28,31,217,280
28,31,216,280
28,31,217,288
28,31,217,280
28,31,219,280
28,31,214,280
28,31,216,280
28,31,217,288
28,31,216,280
28,31,217,280
28,31,217,280
28,31,217,288
28,31,216,280
28,31,217,287
28,31,216,281
28,31,220,288
28,31,219,280
28,31,220,280
28,31,220,280
28,31,220,288
28,31,220,280
28,30,219,280
28,31,219,280
28,31,220,280
28,31,220,288
28,31,219,280
28,31,219,280
28,31,220,280
28,31,219,288
28,31,220,280
28,31,219,280
28,31,219,280
28,31,219,280
28,31,220,280
28,31,219,288
28,31,217,280
28,31,219,280
28,30,220,280
28,31,220,280
28,31,220,288
28,31,217,280
28,31,217,280
28,31,220,280
28,31,220,280
28,31,219,288
28,31,219,280
28,31,220,280
28,31,217,280
28,31,216,280
28,31,220,288
28,31,220,280
28,31,220,284
28,31,220,280
28,31,215,288
28,31,219,280
28,31,219,280
28,30,217,280
28,31,220,288
28,31,220,280
28,31,220,280
28,31,220,280
28,31,219,280
28,31,220,288
28,31,219,280
28,31,220,280
28,31,220,280
28,31,219,288
28,31,219,280
28,31,220,291
28,31,217,280
28,31,216,288
28,31,220,280
28,31,220,280
28,31,220,280
28,31,219,288
28,31,217,280
28,31,217,280
28,31,217,280
28,31,217,280
28,31,219,288
28,31,220,280
28,31,214,280
28,31,216,280
28,31,220,288
28,31,219,280
28,31,220,280
28,31,217,280
28,31,220,280
28,31,220,288
28,31,220,280
28,31,220,280
28,32,226,280
28,32,220,289
28,31,219,280
28,31,220,280
28,31,219,280
28,31,219,280
28,31,221,288
28,31,220,280
28,31,220,280
28,31,219,284
28,31,219,288
28,31,220,280
28,31,220,280
28,31,220,280
28,31,219,288
28,31,219,282
28,31,220,280
28,31,220,280
28,31,217,280
28,31,216,288
28,31,220,280
28,31,219,287
28,31,219,280
28,31,220,280
28,31,217,288
28,31,216,280
28,31,220,280
28,31,220,281
28,31,220,280
28,31,219,288
28,31,220,280
28,31,220,281
28,31,223,280
28,31,219,288
33,31,220,280
28,31,217,280
28,31,216,280
28,31,220,288
28,31,220,280
28,31,221,280
28,31,219,280
33,31,219,288
28,31,220,280
28,31,219,280
28,31,219,280
28,31,219,280
28,31,215,288
28,31,217,280
28,31,217,282
28,31,217,280
28,31,223,288
28,31,219,280
28,31,219,280
28,31,220,280
28,31,217,280
28,31,217,288
28,31,220,280
28,31,220,287
28,31,217,281
28,31,218,288
28,31,219,280
28,31,220,282
28,31,220,280
28,31,219,288
28,31,219,280
28,31,220,282
28,31,217,294
28,31,217,280
28,31,219,288
28,31,220,280
28,31,224,282
28,31,219,282
28,31,220,288
28,31,217,280
28,31,217,280
28,31,220,280
28,31,220,288
28,31,220,280
28,31,219,280
28,30,220,282
28,31,220,288
28,31,219,280
28,31,220,285
28,31,220,282
28,31,220,288
28,31,219,280
28,31,220,282
28,31,217,282
28,31,216,288
28,31,220,288
28,31,220,289
28,31,220,289
28,30,220,288
28,31,220,288
28,31,220,289
28,31,220,289
28,31,219,280
28,31,220,288
28,31,217,288
28,31,220,290
28,31,219,288
28,31,219,288
28,31,214,288
28,31,220,288
28,31,217,289
28,31,220,288
28,31,220,288
28,31,219,288
28,31,216,288
28,31,219,289
28,31,220,288
28,31,219,288
28,31,220,288
28,31,227,289
28,31,219,288
28,31,219,295
28,31,220,288
28,31,220,288
28,31,220,289
28,31,220,288
28,31,217,288
28,31,216,288
28,31,219,289
28,31,219,288
28,31,219,288
28,31,220,288
28,31,217,289
28,31,216,288
28,31,220,288
28,31,219,288
28,31,218,288
28,31,220,289
28,31,220,288
28,31,220,288
28,31,219,288
28,31,219,289
28,31,220,288
28,31,217,288
28,31,216,288
28,31,220,289
28,31,220,288
28,31,220,288
28,31,219,288
28,31,219,288
28,31,220,289
28,31,220,289
28,31,220,288
28,31,220,288
28,31,220,289
28,31,217,294
28,31,216,280
28,31,220,288
28,31,220,288
28,31,220,289
28,31,219,302
28,31,220,288
28,31,220,288
28,31,220,288
28,31,217,289
28,31,220,288
28,31,220,288
28,31,216,288
28,31,219,289
28,31,219,288
28,31,220,288
28,31,220,288
