name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",27869982,24.9651,24.9653,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",27228857,25.7075,25.7078,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",25225795,27.5475,27.5479,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",27131574,25.8,25.8003,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",17664162,39.6278,39.6282,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",17419027,40.1838,40.184,ns,1.99084e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",17181621,40.7413,40.742,ns,3.92716e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",16949452,41.2983,41.2988,ns,5.8113e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",16724212,41.8554,41.8559,ns,7.64527e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",16613564,42.1343,42.1348,ns,9.49334e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",16504273,42.4102,42.4107,ns,1.13179e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",16399922,42.6823,42.683,ns,1.312e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",16085203,43.5175,43.5182,ns,1.47065e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2417739,289.519,289.524,ns,2.21053e+08,,,,
