name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"syscall_sys_ni_syscall",15534677,45.0782,45.0782,ns,,,,,
"syscall_array/0",10670767,65.8004,65.8006,ns,0,,,,
"syscall_array/8",8989706,77.6112,77.6115,ns,1.03077e+08,,,,
"syscall_array/16",8968508,78.0472,78.0477,ns,2.05003e+08,,,,
"syscall_array/24",8941286,78.9722,78.9727,ns,3.03902e+08,,,,
"syscall_array/32",8885064,78.7406,78.741,ns,4.06396e+08,,,,
"syscall_array/40",8747187,79.4042,79.4048,ns,5.03748e+08,,,,
"syscall_array/48",8694012,80.3546,80.3552,ns,5.97348e+08,,,,
"syscall_array/56",8722359,80.2596,80.2602,ns,6.97731e+08,,,,
"syscall_array/64",8719748,80.2588,80.2593,ns,7.97415e+08,,,,
"syscall_nt",3398487,205.203,205.204,ns,3.11884e+08,,,,
