name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"VDSOFixture<VDSO_NOOP>/vdso_noop",613537552,1.14001,1.14,ns,,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/0",341135578,2.0522,2.05221,ns,0,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/8",252322000,2.75689,2.7569,ns,2.90181e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/16",180704054,3.76296,3.76297,ns,4.25196e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/24",151467968,4.62507,4.6251,ns,5.18907e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/32",122840102,5.69899,5.69901,ns,5.61501e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/40",106340667,6.54839,6.5484,ns,6.10836e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/48",93980244,7.45425,7.45428,ns,6.43926e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/56",83773615,8.38798,8.38801,ns,6.6762e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/64",74883205,9.28364,9.28371,ns,6.8938e+09,,,,
"VDSOFixture<VDSO_COPY_NT>/vdso_copy_nt",3097668,242.873,242.875,ns,2.6351e+08,,,,
