noop,fastcall
47,133
49,179
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,120
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,132
28,114
28,137
28,116
28,117
28,115
28,115
28,115
28,115
28,115
28,113
28,114
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,122
28,116
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,116
28,115
28,126
28,115
28,115
28,116
28,116
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,114
28,116
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,113
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
33,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
18446744073709486108,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,119
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,119
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
30,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
33,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,120
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,137
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,114
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,117
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,116
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
28,115
