name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",34644379,20.195,20.1951,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",33266373,21.0359,21.0361,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",31151662,22.4734,22.4736,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",33142871,21.1212,21.1213,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",21575185,32.4398,32.44,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",21283762,32.885,32.8852,ns,2.43271e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",21003445,33.3302,33.3304,ns,4.80043e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",20719893,33.7903,33.7904,ns,7.10261e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",20433150,34.2639,34.2641,ns,9.33921e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",20293181,34.4841,34.4842,ns,1.15995e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",20171755,34.6952,34.6953,ns,1.38347e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",20043186,34.9242,34.9243,ns,1.60347e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",19659864,35.6093,35.6095,ns,1.79727e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2545240,274.977,274.979,ns,2.32745e+08,,,,
