name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"IOCTLFixture/ioctl_noop",14157642,49.4378,49.4381,ns,,,,,
"IOCTLFixture/ioctl_array/0",7636355,91.6559,91.6564,ns,0,,,,
"IOCTLFixture/ioctl_array/8",6641121,105.394,105.394,ns,7.59054e+07,,,,
"IOCTLFixture/ioctl_array/16",6613625,105.827,105.828,ns,1.51189e+08,,,,
"IOCTLFixture/ioctl_array/24",6598351,106.069,106.069,ns,2.26267e+08,,,,
"IOCTLFixture/ioctl_array/32",6584221,106.296,106.297,ns,3.01045e+08,,,,
"IOCTLFixture/ioctl_array/40",6530574,107.208,107.209,ns,3.73104e+08,,,,
"IOCTLFixture/ioctl_array/48",6509766,107.433,107.433,ns,4.46789e+08,,,,
"IOCTLFixture/ioctl_array/56",6508459,107.433,107.434,ns,5.21251e+08,,,,
"IOCTLFixture/ioctl_array/64",6513356,107.417,107.418,ns,5.95805e+08,,,,
"IOCTLFixture/ioctl_nt",3006467,232.808,232.81,ns,2.74902e+08,,,,
