name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",27486028,24.9608,24.9607,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",27234448,25.703,25.703,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",25485385,27.4666,27.4667,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",27135018,25.7966,25.7967,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",17667171,39.6212,39.6213,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",17422529,40.1778,40.1779,ns,1.99114e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",17184355,40.7342,40.7345,ns,3.92788e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",16952579,41.2913,41.2916,ns,5.81232e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",16726758,41.8483,41.8484,ns,7.64664e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",16616306,42.127,42.1272,ns,9.49506e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",16507000,42.4054,42.4055,ns,1.13193e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",16399152,42.685,42.6851,ns,1.31193e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",16084476,43.5201,43.5204,ns,1.47058e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2417717,289.523,289.524,ns,2.21052e+08,,,,
