name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"IOCTLFixture/ioctl_noop",9682187,72.2966,72.297,ns,,,,,
"IOCTLFixture/ioctl_array/0",5528305,124.764,124.764,ns,0,,,,
"IOCTLFixture/ioctl_array/8",4940050,141.459,141.46,ns,5.65531e+07,,,,
"IOCTLFixture/ioctl_array/16",4932795,141.974,141.973,ns,1.12697e+08,,,,
"IOCTLFixture/ioctl_array/24",4923283,142.177,142.178,ns,1.68803e+08,,,,
"IOCTLFixture/ioctl_array/32",4913437,142.649,142.649,ns,2.24327e+08,,,,
"IOCTLFixture/ioctl_array/40",4875772,143.571,143.572,ns,2.78605e+08,,,,
"IOCTLFixture/ioctl_array/48",4866018,143.848,143.849,ns,3.33684e+08,,,,
"IOCTLFixture/ioctl_array/56",4866119,143.848,143.849,ns,3.89296e+08,,,,
"IOCTLFixture/ioctl_array/64",4866046,143.842,143.843,ns,4.4493e+08,,,,
"IOCTLFixture/ioctl_nt",2370443,295.299,295.3,ns,2.16729e+08,,,,
