name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"syscall_sys_ni_syscall",12714739,55.0475,55.0325,ns,,,,,
"syscall_array/0",8811641,79.2406,79.2411,ns,0,,,,
"syscall_array/8",7395834,94.6437,94.6436,ns,8.45276e+07,,,,
"syscall_array/16",7352990,95.1987,95.1993,ns,1.68069e+08,,,,
"syscall_array/24",7274924,96.2207,96.2212,ns,2.49425e+08,,,,
"syscall_array/32",7253973,96.4982,96.4988,ns,3.3161e+08,,,,
"syscall_array/40",7171062,97.6122,97.6128,ns,4.09782e+08,,,,
"syscall_array/48",7150855,97.891,97.8914,ns,4.90339e+08,,,,
"syscall_array/56",7150765,97.8898,97.8904,ns,5.72068e+08,,,,
"syscall_array/64",7150778,97.8907,97.8913,ns,6.53786e+08,,,,
"syscall_nt",2788522,250.633,250.634,ns,2.55352e+08,,,,
