name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"VDSOFixture<VDSO_NOOP>/vdso_noop",502898260,1.39184,1.39184,ns,,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/0",279407709,2.5053,2.50529,ns,0,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/8",205794988,3.40195,3.40195,ns,2.35159e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/16",153935920,4.53426,4.53422,ns,3.52872e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/24",121734689,5.65808,5.65807,ns,4.24173e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/32",100587776,6.95936,6.95936,ns,4.59812e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/40",86712200,8.0727,8.0727,ns,4.95497e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/48",76199088,9.18651,9.18651,ns,5.22505e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/56",67962320,10.2999,10.2999,ns,5.43697e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/64",61333703,11.4132,11.4132,ns,5.60753e+09,,,,
"VDSOFixture<VDSO_COPY_NT>/vdso_copy_nt",2995688,250.603,250.603,ns,2.55384e+08,,,,
