name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",34235971,20.4441,20.4441,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",33183566,21.0504,21.0506,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",31107598,22.5013,22.5013,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",33130179,21.1246,21.1247,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",21569177,32.4517,32.4519,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",21272738,32.9085,32.9087,ns,2.43097e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",20981904,33.3657,33.3658,ns,4.79533e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",20698144,33.8172,33.8173,ns,7.09696e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",20345095,34.2743,34.2744,ns,9.3364e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",20282344,34.5018,34.5019,ns,1.15936e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",20151160,34.7336,34.7337,ns,1.38194e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",20025280,34.9635,34.9636,ns,1.60166e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",19637516,35.6416,35.6417,ns,1.79565e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2552129,274.278,274.279,ns,2.33339e+08,,,,
