name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",27637410,25.3277,25.3277,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",29244064,23.9363,23.9362,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",19125427,36.6007,36.6006,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",26335317,26.5802,26.5801,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",27944129,25.0497,25.0496,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",26473159,26.441,26.4409,ns,3.02561e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",26062252,26.8586,26.8586,ns,5.95713e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",25927959,26.9974,26.9973,ns,8.88977e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",25150047,27.8328,27.833,ns,1.14971e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",24431171,28.6275,28.6298,ns,1.39715e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",24417810,28.6654,28.6675,ns,1.67437e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",23751561,29.4761,29.4781,ns,1.89971e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",24067155,29.0833,29.0852,ns,2.20043e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",5377914,127.984,127.992,ns,5.0003e+08,,,,
