      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs,       func, do_syscall, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        233,        664,        932,       1410,       1685,       2438,       3697,       3975,       4285,       4786,       5034,       5560
          0,        234,        579,        852,       1333,       1608,       1946,       2896,       3148,       3409,       3876,       4123,       4404
          0,        233,        529,        779,       1239,       1508,       1822,       2769,       3022,       3270,       3738,       3983,       4265
          0,        233,        520,        770,       1229,       1498,       1812,       2757,       3010,       3258,       3726,       3971,       4253
          0,        233,        520,        770,       1229,       1498,       1813,       2731,       2984,       3232,       3703,       3948,       4230
          0,        233,        520,        770,       1229,       1498,       1813,       2731,       2984,       3232,       3700,       3945,       4227
          0,        233,        520,        770,       1229,       1498,       1815,       2738,       2990,       3241,       3712,       3959,       4240
          0,        233,        521,        771,       1230,       1499,       1817,       2734,       2986,       3237,       3709,       3957,       4238
          0,        233,        521,        771,       1230,       1499,       1817,       2738,       2990,       3241,       3713,       3961,       4242
          0,        233,        521,        771,       1230,       1499,       1816,       2732,       2984,       3235,       3706,       3954,       4235
          0,        233,        520,        770,       1229,       1498,       1814,       2737,       2989,       3240,       3711,       3958,       4239
          0,        233,        520,        770,       1229,       1498,       1815,       2739,       2991,       3242,       3713,       3960,       4241
          0,        233,        521,        771,       1230,       1499,       1817,       2738,       2990,       3241,       3713,       3961,       4242
          0,        233,        521,        771,       1230,       1499,       1817,       2739,       2991,       3239,       3712,       3960,       4241
          0,        233,        521,        771,       1230,       1499,       1815,       2736,       2988,       3239,       3710,       3958,       4239
          0,        233,        520,        770,       1229,       1498,       1815,       2733,       2985,       3236,       3707,       3954,       4235
          0,        233,        520,        770,       1229,       1498,       1813,       2732,       2985,       3233,       3701,       3946,       4228
          0,        234,        521,        771,       1230,       1499,       1814,       2732,       2985,       3233,       3701,       3946,       4229
          0,        233,        520,        770,       1229,       1498,       1813,       2731,       2984,       3232,       3703,       3948,       4230
          0,        234,        521,        771,       1230,       1499,       1814,       2732,       2985,       3233,       3701,       3946,       4229
          0,        233,        520,        770,       1229,       1498,       1813,       2726,       2979,       3227,       3695,       3940,       4222
          0,        233,        520,        770,       1229,       1498,       1816,       2734,       2986,       3234,       3707,       3952,       4234
          0,        233,        521,        771,       1230,       1499,       1816,       2737,       2989,       3237,       3710,       3958,       4239
          0,        233,        521,        771,       1230,       1499,       1817,       2738,       2990,       3241,       3713,       3961,       4242
          0,        233,        521,        771,       1230,       1499,       1817,       2738,       2990,       3238,       3711,       3959,       4241
          0,        233,        521,        771,       1230,       1499,       1817,       2738,       2990,       3238,       3711,       3959,       4240
          0,        236,        564,        814,       1276,       1545,       1862,       2843,       3095,       3352,       3818,       4064,       4345
          0,        235,        523,        772,       1232,       1501,       1813,       2731,       2986,       3234,       3702,       3947,       4231
          0,        235,        522,        772,       1231,       1500,       1804,       2718,       2972,       3220,       3688,       3933,       4217
          0,        233,        520,        770,       1229,       1498,       1803,       2722,       2975,       3223,       3694,       3939,       4221
          0,        233,        521,        771,       1230,       1499,       1806,       2727,       2979,       3230,       3702,       3950,       4231
          0,        233,        520,        770,       1229,       1498,       1804,       2722,       2974,       3225,       3696,       3943,       4224
          0,        233,        522,        774,       1237,       1506,       1812,       2733,       2985,       3234,       3702,       3948,       4229
          0,        236,        524,        775,       1236,       1505,       1810,       2724,       2979,       3227,       3695,       3940,       4221
          0,        235,        522,        772,       1231,       1500,       1805,       2718,       2972,       3220,       3688,       3933,       4217
          0,        234,        521,        771,       1230,       1499,       1804,       2723,       2977,       3225,       3693,       3938,       4221
          0,        234,        521,        771,       1230,       1499,       1804,       2721,       2974,       3222,       3690,       3935,       4218
          0,        233,        521,        771,       1230,       1499,       1807,       2727,       2979,       3230,       3702,       3950,       4231
          0,        234,        524,        777,       1241,       1510,       1816,       2731,       2983,       3233,       3702,       3948,       4229
          0,        236,        525,        777,       1239,       1508,       1813,       2726,       2978,       3227,       3695,       3940,       4221
          0,        235,        523,        774,       1234,       1503,       1808,       2721,       2976,       3224,       3692,       3937,       4221
          0,        234,        521,        771,       1230,       1499,       1804,       2721,       2975,       3223,       3691,       3936,       4219
          0,        234,        521,        771,       1230,       1499,       1804,       2721,       2974,       3222,       3690,       3935,       4218
          0,        233,        520,        770,       1229,       1498,       1805,       2722,       2974,       3225,       3696,       3943,       4224
          0,        236,        525,        777,       1239,       1508,       1812,       2730,       2982,       3231,       3699,       3944,       4225
          0,        235,        522,        772,       1231,       1500,       1804,       2717,       2971,       3219,       3687,       3932,       4216
          0,        233,        520,        770,       1229,       1498,       1803,       2720,       2973,       3221,       3689,       3934,       4216
          0,        233,        521,        771,       1230,       1499,       1807,       2727,       2979,       3227,       3700,       3948,       4230
