name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"syscall_sys_ni_syscall",1968039,355.706,355.706,ns,,,,,
"syscall_array/0",1940241,360.779,360.778,ns,0,,,,
"syscall_array/8",1943799,360.134,360.134,ns,2.22139e+07,,,,
"syscall_array/16",1939005,361.081,361.081,ns,4.43114e+07,,,,
"syscall_array/24",1933254,362.09,362.09,ns,6.62819e+07,,,,
"syscall_array/32",1925720,363.677,363.677,ns,8.79901e+07,,,,
"syscall_array/40",1923082,364.063,364.062,ns,1.09871e+08,,,,
"syscall_array/48",1926383,363.411,363.411,ns,1.32082e+08,,,,
"syscall_array/56",1925641,363.497,363.497,ns,1.54059e+08,,,,
"syscall_array/64",1896516,369.165,369.165,ns,1.73364e+08,,,,
"syscall_nt",1524846,459.225,459.225,ns,1.39365e+08,,,,
