name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"VDSOFixture<VDSO_NOOP>/vdso_noop",419161087,1.67006,1.67,ns,,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/0",233587632,2.99686,2.99686,ns,0,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/8",187264488,3.73326,3.73315,ns,2.14296e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/16",145067781,4.86186,4.86187,ns,3.29091e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/24",117836627,5.94613,5.94593,ns,4.03638e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/32",100586429,6.95922,6.95916,ns,4.59826e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/40",85213478,8.20717,8.20692,ns,4.87394e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/48",75226924,9.3331,9.33311,ns,5.14298e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/56",66931016,10.4768,10.4768,ns,5.34516e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/64",60252197,11.6112,11.6109,ns,5.51208e+09,,,,
"VDSOFixture<VDSO_COPY_NT>/vdso_copy_nt",6454772,108.469,108.469,ns,5.9003e+08,,,,
