noop,fastcall
59,158
70,288
62,163
42,139
38,137
38,139
38,138
38,137
38,138
41,138
38,137
42,138
38,138
38,139
37,137
37,138
40,137
37,147
37,138
37,137
38,137
37,138
41,139
37,137
41,136
37,139
43,138
40,138
41,138
37,136
37,138
38,137
38,137
42,143
37,140
41,144
38,140
37,136
37,138
37,137
38,139
38,136
42,140
41,136
38,137
38,138
38,139
38,138
38,138
41,137
37,137
42,136
38,137
37,136
37,138
38,139
41,139
37,139
37,138
40,141
38,138
38,137
37,139
37,136
41,139
38,143
41,140
37,138
38,136
37,139
38,136
37,137
41,136
38,135
38,139
38,137
38,138
37,140
37,140
38,137
38,139
38,139
38,138
41,138
37,138
37,138
38,137
38,137
37,139
41,136
37,138
38,137
38,137
42,136
38,138
37,136
37,138
37,136
42,138
37,137
41,138
38,138
37,138
38,137
38,138
37,138
37,137
37,138
38,136
42,140
37,138
38,139
40,138
38,140
40,138
42,136
41,138
42,138
38,136
38,139
41,137
38,136
38,138
41,138
38,138
38,137
37,139
37,138
41,140
42,138
38,136
37,138
38,137
38,138
39,137
37,137
38,138
37,137
42,138
37,136
42,138
38,135
38,138
41,139
37,137
42,139
38,138
42,140
42,138
37,138
37,138
38,138
37,137
37,138
37,137
42,137
38,136
41,138
38,137
38,140
41,137
38,138
38,138
37,138
42,137
42,139
41,138
38,140
37,138
38,137
37,137
43,139
40,137
38,138
38,137
37,140
38,137
37,141
38,138
37,140
37,138
38,138
41,138
37,138
38,137
38,138
37,138
41,138
38,138
37,138
42,138
37,138
41,136
37,137
37,138
37,138
37,138
38,137
41,137
37,138
37,137
37,141
38,139
41,138
38,136
43,137
37,139
38,140
38,138
38,137
42,137
42,138
37,137
37,138
37,137
41,142
37,136
37,137
42,137
37,140
41,137
38,138
42,137
37,138
41,137
38,141
37,138
40,140
40,138
38,138
38,138
39,136
42,140
37,139
38,137
38,140
38,138
38,138
41,138
37,138
38,137
37,138
42,137
38,138
42,137
38,138
40,140
38,137
37,136
38,137
42,138
38,138
41,137
42,142
38,138
37,136
38,136
38,137
42,137
38,140
40,137
38,141
37,138
37,138
37,138
41,137
38,137
42,138
42,136
38,142
41,138
37,138
37,138
37,140
41,136
42,138
38,138
38,138
40,137
38,142
37,137
37,140
41,137
38,138
38,137
38,138
37,136
37,138
42,138
37,138
38,138
40,138
42,138
37,140
40,138
40,137
37,136
38,135
38,140
37,139
42,138
40,139
38,139
42,136
42,138
37,140
38,137
38,136
38,138
42,138
37,139
41,137
38,140
41,138
37,138
38,140
37,138
38,137
42,138
37,136
38,139
37,138
38,137
37,140
37,139
38,137
42,137
38,139
42,137
38,139
38,139
42,137
38,137
43,138
37,137
37,135
38,137
38,138
37,138
40,138
37,136
41,138
41,138
38,138
37,139
38,138
38,138
38,137
38,139
41,138
38,137
38,139
37,138
38,136
38,138
41,137
38,138
41,142
38,138
41,136
42,139
37,137
37,138
38,138
42,137
39,142
38,140
38,136
38,136
38,137
38,138
37,140
37,138
37,140
37,137
37,138
37,139
37,138
37,138
38,138
38,138
37,141
43,137
37,140
37,137
38,137
38,136
38,138
42,139
41,137
38,138
38,138
38,139
38,138
38,140
37,138
42,136
38,138
38,139
42,138
37,137
37,139
37,138
38,138
37,140
40,136
41,137
37,138
38,138
38,136
37,139
37,137
37,140
38,138
42,136
37,137
42,138
38,138
38,137
38,140
40,138
40,136
37,138
38,138
40,140
41,139
41,138
38,138
38,138
38,137
37,140
41,138
37,138
38,147
37,140
37,138
41,139
37,138
37,138
38,141
38,137
40,138
38,137
37,138
40,138
38,138
37,139
37,140
41,136
38,136
42,137
42,138
38,140
38,137
38,139
38,139
42,140
38,138
42,138
38,139
38,138
37,137
38,138
38,137
38,138
38,137
37,137
37,138
37,137
41,142
38,137
38,138
37,138
38,137
42,136
38,137
38,137
40,138
39,137
37,139
38,137
38,138
37,136
38,138
37,140
42,138
42,138
37,138
38,137
38,138
41,138
38,140
38,136
38,138
38,138
38,137
37,140
37,136
38,139
38,139
38,138
41,140
42,137
38,138
37,137
38,136
38,142
40,138
37,138
38,137
38,138
38,138
38,139
37,141
41,136
42,137
43,138
41,140
40,138
41,138
42,138
42,138
38,138
37,138
42,138
42,138
42,138
37,138
38,138
38,137
41,138
37,138
41,138
38,138
38,138
42,138
38,138
38,138
37,137
38,137
38,139
37,137
37,138
42,142
38,140
40,137
37,137
40,138
38,138
38,137
41,140
37,137
37,138
37,141
37,138
41,138
37,136
38,138
37,138
41,11126
38,152
37,137
38,137
37,136
37,138
42,137
41,138
38,137
41,136
37,136
37,137
38,136
38,139
38,138
41,138
37,139
37,138
38,138
37,140
42,137
38,136
37,137
37,137
37,137
41,138
38,138
37,137
38,137
38,136
38,139
38,138
40,137
38,137
41,139
37,138
37,140
38,143
38,138
42,141
37,138
38,138
38,138
37,136
37,138
38,137
38,139
38,137
42,136
38,140
42,138
41,136
42,139
37,136
42,140
37,138
41,136
37,138
38,138
37,138
42,138
42,140
37,137
42,138
38,136
38,138
42,138
42,136
42,137
37,138
38,137
38,138
37,135
38,137
42,138
37,136
37,138
37,140
41,138
37,136
38,137
41,136
37,140
38,136
37,138
38,138
41,138
37,138
42,138
38,138
37,136
41,137
37,138
42,137
38,138
38,137
37,138
41,138
37,139
38,139
38,137
41,137
38,138
42,138
38,140
37,139
41,137
38,138
37,139
38,137
37,137
37,136
37,139
37,137
38,137
38,139
41,137
40,139
38,138
40,138
37,138
41,138
37,139
41,138
42,137
38,138
40,138
37,138
38,136
37,140
38,138
41,136
38,140
37,140
42,137
43,139
38,138
37,136
37,138
37,138
41,140
37,147
37,137
38,136
41,137
37,138
42,136
40,142
37,136
38,137
38,137
37,137
38,136
38,140
38,138
38,138
37,138
37,137
37,135
38,138
38,138
38,138
38,138
40,138
41,136
38,138
37,138
37,138
37,138
37,138
37,137
41,136
41,138
41,139
38,138
38,138
38,137
37,140
38,138
38,138
37,137
37,138
37,139
38,138
38,140
37,18446744073709486218
38,139
42,138
42,136
37,138
38,138
38,138
43,138
42,136
38,139
38,138
37,138
42,138
37,138
38,137
37,137
37,138
37,138
38,138
38,136
41,140
37,137
40,137
40,136
38,138
40,138
38,138
37,137
38,138
40,137
37,140
38,138
37,137
37,140
42,137
38,140
40,139
42,138
38,138
37,136
37,136
42,139
42,138
38,138
42,137
42,138
37,138
37,138
41,138
41,138
37,141
38,138
38,138
42,138
38,138
40,138
42,137
38,138
41,137
40,136
38,138
38,138
41,136
41,138
37,138
38,137
38,138
37,137
38,137
37,138
38,139
40,137
37,141
37,136
38,138
38,138
38,138
38,138
38,138
37,138
37,136
37,137
40,140
38,138
41,138
38,136
42,138
41,138
38,137
37,140
37,138
41,136
38,140
38,136
37,136
37,140
38,136
38,139
42,137
37,137
38,136
37,138
42,140
41,138
38,143
38,137
37,138
38,138
43,138
41,138
37,137
37,138
37,137
40,136
37,138
37,140
38,138
42,138
37,137
40,136
38,138
40,138
38,140
38,137
40,138
38,136
37,138
39,138
41,138
41,139
38,138
38,140
37,138
37,138
42,138
38,138
38,138
42,138
37,138
41,138
38,138
41,136
37,139
38,137
38,139
38,138
40,138
42,140
37,137
42,138
38,139
40,138
38,137
38,137
42,138
42,137
37,138
38,138
37,137
38,138
37,139
37,139
37,137
41,137
38,139
40,137
38,138
38,136
38,137
38,139
38,138
38,140
38,136
37,137
38,138
41,138
38,136
38,138
38,137
41,138
41,138
37,137
40,138
37,137
41,138
42,138
38,138
38,138
37,137
38,138
38,138
37,137
38,138
38,138
38,136
37,137
37,138
37,138
38,137
38,137
38,136
37,137
40,138
37,137
38,140
42,138
37,138
37,137
41,136
38,138
38,138
37,138
37,138
37,138
38,137
38,138
38,138
42,140
37,138
38,137
37,138
37,139
38,137
37,138
38,138
40,138
42,138
38,137
38,139
38,136
38,138
37,138
37,136
38,140
38,139
38,140
