name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",27648009,25.3178,25.3178,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",29256052,23.9267,23.9266,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",19133044,36.7253,36.7251,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",26345882,26.5698,26.5697,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",27955788,25.0395,25.0395,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",26484215,26.4305,26.4304,ns,3.02681e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",26072846,26.8477,26.8477,ns,5.95955e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",25938760,26.9868,26.9867,ns,8.89326e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",25160458,27.8215,27.8215,ns,1.15019e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",25004963,28.0561,28.056,ns,1.42572e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",24427707,28.6561,28.656,ns,1.67504e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",24320483,28.8753,28.8752,ns,1.93938e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",24076591,29.0733,29.0733,ns,2.20133e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",5148864,130.144,130.144,ns,4.91763e+08,,,,
