      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs,       func, do_syscall, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        412,        839,       1107,       1375,       1650,       2373,       3048,       3325,       3631,       3911,       4184,       4691
          0,        277,        612,        882,       1150,       1424,       1717,       2033,       2285,       2544,       2793,       3038,       3322
          0,        233,        520,        770,       1038,       1304,       1569,       1857,       2109,       2360,       2608,       2853,       3136
          0,        233,        516,        768,       1021,       1285,       1548,       1832,       2086,       2333,       2581,       2826,       3107
          0,        234,        515,        765,       1016,       1280,       1546,       1828,       2079,       2327,       2574,       2817,       3098
          0,        233,        514,        762,       1016,       1277,       1540,       1824,       2075,       2323,       2572,       2820,       3102
          0,        235,        516,        764,       1015,       1279,       1542,       1827,       2079,       2326,       2573,       2816,       3097
          0,        233,        514,        764,       1015,       1276,       1541,       1828,       2080,       2329,       2577,       2822,       3104
          0,        234,        518,        771,       1025,       1289,       1552,       1835,       2086,       2333,       2582,       2830,       3111
          0,        236,        518,        769,       1021,       1282,       1545,       1829,       2082,       2328,       2576,       2822,       3103
          0,        235,        516,        766,       1017,       1281,       1544,       1829,       2082,       2329,       2576,       2819,       3099
          0,        233,        515,        765,       1016,       1280,       1544,       1829,       2080,       2328,       2576,       2821,       3103
          0,        234,        518,        771,       1025,       1289,       1552,       1837,       2088,       2334,       2582,       2830,       3111
          0,        236,        518,        769,       1021,       1285,       1548,       1832,       2085,       2331,       2579,       2825,       3106
          0,        235,        516,        766,       1017,       1281,       1544,       1829,       2082,       2329,       2576,       2819,       3099
          0,        233,        514,        764,       1015,       1276,       1541,       1827,       2078,       2326,       2574,       2819,       3102
          0,        233,        514,        764,       1015,       1279,       1543,       1829,       2080,       2327,       2577,       2822,       3104
          0,        233,        516,        768,       1021,       1285,       1548,       1832,       2085,       2331,       2579,       2826,       3107
          0,        236,        518,        769,       1021,       1285,       1548,       1833,       2087,       2334,       2581,       2825,       3105
          0,        233,        514,        764,       1015,       1276,       1541,       1827,       2078,       2327,       2575,       2820,       3104
          0,        233,        514,        764,       1015,       1279,       1543,       1827,       2078,       2325,       2574,       2819,       3101
          0,        236,        519,        771,       1023,       1287,       1550,       1834,       2087,       2333,       2581,       2827,       3108
          0,        236,        518,        769,       1021,       1285,       1548,       1833,       2087,       2334,       2581,       2825,       3105
          0,        234,        515,        765,       1016,       1277,       1543,       1826,       2077,       2323,       2571,       2816,       3100
          0,        233,        515,        765,       1016,       1280,       1545,       1830,       2081,       2329,       2576,       2819,       3102
          0,        234,        518,        771,       1024,       1285,       1548,       1833,       2087,       2333,       2581,       2828,       3109
          0,        233,        555,        803,       1053,       1316,       1580,       1902,       2152,       2403,       2651,       2896,       3179
          0,        236,        524,        773,       1025,       1289,       1552,       1837,       2089,       2336,       2584,       2830,       3111
          0,        233,        520,        770,       1021,       1285,       1549,       1837,       2089,       2339,       2587,       2830,       3111
          0,        235,        522,        772,       1023,       1284,       1547,       1830,       2082,       2329,       2577,       2822,       3103
          0,        233,        520,        770,       1021,       1285,       1549,       1837,       2089,       2338,       2585,       2830,       3112
