name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"syscall_sys_ni_syscall",14976769,46.7384,46.7384,ns,,,,,
"syscall_array/0",13827153,50.6351,50.6349,ns,0,,,,
"syscall_array/8",13825524,50.6331,50.633,ns,1.58e+08,,,,
"syscall_array/16",13686889,51.0736,51.0736,ns,3.13273e+08,,,,
"syscall_array/24",13582337,51.5175,51.5175,ns,4.65861e+08,,,,
"syscall_array/32",13505354,51.84,51.84,ns,6.17284e+08,,,,
"syscall_array/40",13361468,52.3919,52.3919,ns,7.63476e+08,,,,
"syscall_array/48",13234489,52.8298,52.8298,ns,9.08578e+08,,,,
"syscall_array/56",13160869,53.3036,53.3036,ns,1.05059e+09,,,,
"syscall_array/64",11989255,58.3952,58.3951,ns,1.09598e+09,,,,
"syscall_nt",4772486,146.678,146.678,ns,4.36329e+08,,,,
