name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"VDSOFixture<VDSO_NOOP>/vdso_noop",419332089,1.66938,1.6693,ns,,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/0",250051945,2.80043,2.80029,ns,0,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/8",192596144,3.6548,3.65465,ns,2.18899e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/16",143768586,4.85979,4.85961,ns,3.29244e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/24",117303559,5.97659,5.9763,ns,4.01586e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/32",100634509,6.95616,6.95589,ns,4.60042e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/40",85568820,8.12758,8.12727,ns,4.9217e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/48",75493936,9.26817,9.2678,ns,5.17922e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/56",66923840,10.4312,10.4307,ns,5.36875e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/64",60616064,11.5945,11.5941,ns,5.52007e+09,,,,
"VDSOFixture<VDSO_COPY_NT>/vdso_copy_nt",6549401,106.891,106.886,ns,5.98771e+08,,,,
