name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",30448811,23.0151,23.0146,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",32015174,21.8871,21.887,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",20918447,33.4427,33.4426,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",28681753,24.3688,24.3687,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",30931920,22.6755,22.6755,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",29271791,23.9386,23.9385,ns,3.34189e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",28796575,24.3216,24.3215,ns,6.57854e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",28653846,24.4396,24.4395,ns,9.82015e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",27826679,25.1882,25.1882,ns,1.27044e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",27278173,25.797,25.797,ns,1.55057e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",26972297,25.9397,25.9396,ns,1.85045e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",26498993,26.5084,26.5084,ns,2.11253e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",26597747,26.3224,26.3233,ns,2.43131e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",5709804,122.663,122.667,ns,5.21736e+08,,,,
