      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs,       func, do_syscall, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        236,        651,        920,       1203,       1480,       2235,       2865,       3142,       3468,       3747,       3995,       4515
          0,        233,        568,        838,       1106,       1381,       1699,       2010,       2288,       2564,       2813,       3058,       3350
          0,        233,        516,        786,       1040,       1301,       1618,       1931,       2183,       2434,       2682,       2927,       3222
          0,        235,        518,        768,       1019,       1283,       1591,       1899,       2153,       2401,       2650,       2896,       3189
          0,        233,        518,        770,       1023,       1284,       1592,       1879,       2131,       2380,       2630,       2878,       3171
          0,        233,        514,        764,       1015,       1279,       1590,       1873,       2125,       2373,       2622,       2867,       3159
          0,        236,        518,        769,       1021,       1282,       1590,       1872,       2127,       2375,       2624,       2871,       3163
          0,        233,        514,        764,       1015,       1279,       1587,       1869,       2121,       2369,       2618,       2863,       3156
          0,        234,        518,        771,       1024,       1285,       1594,       1879,       2131,       2380,       2630,       2875,       3168
          0,        235,        516,        766,       1017,       1281,       1589,       1871,       2125,       2373,       2622,       2868,       3160
          0,        234,        518,        771,       1025,       1286,       1595,       1881,       2133,       2383,       2631,       2876,       3170
          0,        235,        516,        766,       1017,       1281,       1589,       1872,       2126,       2374,       2623,       2869,       3162
          0,        233,        514,        764,       1015,       1276,       1586,       1872,       2124,       2374,       2622,       2867,       3161
          0,        236,        518,        769,       1021,       1285,       1593,       1875,       2130,       2378,       2627,       2874,       3166
          0,        233,        515,        765,       1016,       1280,       1591,       1873,       2125,       2376,       2624,       2869,       3165
          0,        233,        516,        768,       1021,       1285,       1593,       1876,       2128,       2376,       2625,       2873,       3165
          0,        234,        519,        769,       1020,       1281,       1589,       1872,       2125,       2373,       2621,       2866,       3158
          0,        233,        516,        768,       1021,       1285,       1593,       1876,       2128,       2377,       2627,       2875,       3168
          0,        234,        515,        765,       1016,       1280,       1588,       1870,       2123,       2371,       2619,       2864,       3157
          0,        234,        522,        775,       1029,       1293,       1602,       1886,       2138,       2388,       2637,       2882,       3175
          0,        234,        515,        765,       1016,       1277,       1590,       1873,       2127,       2375,       2623,       2869,       3161
          0,        234,        518,        771,       1025,       1289,       1598,       1882,       2134,       2384,       2633,       2878,       3172
          0,        235,        516,        766,       1017,       1281,       1589,       1871,       2125,       2373,       2621,       2867,       3160
          0,        233,        514,        764,       1018,       1282,       1597,       1882,       2134,       2385,       2634,       2879,       3173
          0,        235,        521,        772,       1024,       1285,       1593,       1876,       2131,       2379,       2628,       2875,       3167
          0,        233,        515,        765,       1016,       1280,       1590,       1875,       2127,       2378,       2627,       2872,       3166
          0,        236,        518,        767,       1018,       1281,       1592,       1930,       2185,       2431,       2679,       2925,       3218
          0,        233,        514,        764,       1015,       1279,       1590,       1881,       2133,       2381,       2628,       2871,       3165
          0,        236,        518,        769,       1021,       1285,       1592,       1877,       2132,       2379,       2627,       2874,       3166
          0,        233,        516,        768,       1021,       1285,       1593,       1877,       2129,       2378,       2628,       2876,       3169
          0,        234,        518,        771,       1025,       1289,       1598,       1882,       2134,       2384,       2633,       2878,       3171
          0,        233,        515,        765,       1016,       1280,       1591,       1873,       2125,       2375,       2624,       2869,       3164
          0,        234,        515,        765,       1016,       1280,       1588,       1871,       2124,       2372,       2621,       2866,       3158
          0,        234,        515,        765,       1016,       1280,       1593,       1875,       2129,       2377,       2625,       2871,       3163
          0,        235,        516,        766,       1017,       1281,       1594,       1877,       2131,       2378,       2627,       2874,       3166
          0,        236,        519,        771,       1023,       1287,       1595,       1879,       2134,       2382,       2630,       2878,       3170
          0,        233,        516,        768,       1021,       1285,       1592,       1875,       2127,       2376,       2626,       2874,       3167
          0,        233,        514,        764,       1015,       1279,       1589,       1874,       2126,       2375,       2624,       2869,       3163
          0,        233,        515,        765,       1016,       1280,       1595,       1878,       2130,       2381,       2630,       2875,       3170
          0,        233,        514,        764,       1015,       1279,       1590,       1873,       2125,       2372,       2621,       2866,       3158
          0,        234,        515,        765,       1016,       1280,       1587,       1870,       2123,       2371,       2620,       2865,       3157
          0,        235,        517,        768,       1019,       1283,       1591,       1874,       2128,       2375,       2624,       2871,       3163
          0,        236,        518,        769,       1021,       1285,       1598,       1882,       2137,       2385,       2634,       2881,       3173
          0,        233,        516,        768,       1021,       1285,       1593,       1878,       2130,       2378,       2627,       2875,       3168
          0,        234,        518,        771,       1025,       1289,       1597,       1882,       2134,       2384,       2633,       2878,       3171
          0,        233,        515,        765,       1016,       1280,       1591,       1874,       2126,       2376,       2625,       2870,       3165
          0,        233,        515,        765,       1016,       1280,       1596,       1880,       2132,       2380,       2629,       2874,       3169
          0,        234,        515,        765,       1016,       1280,       1587,       1871,       2124,       2372,       2621,       2866,       3158
          0,        235,        516,        766,       1017,       1281,       1589,       1872,       2126,       2374,       2622,       2868,       3160
          0,        236,        518,        769,       1021,       1285,       1593,       1875,       2130,       2377,       2625,       2872,       3164
          0,        233,        516,        768,       1021,       1285,       1598,       1882,       2134,       2383,       2633,       2881,       3174
          0,        234,        518,        771,       1025,       1289,       1597,       1882,       2134,       2384,       2633,       2878,       3172
          0,        234,        515,        763,       1013,       1273,       1583,       1867,       2118,       2364,       2612,       2857,       3150
          0,        236,        518,        769,       1021,       1285,       1582,       1869,       2123,       2370,       2618,       2865,       3158
          0,        233,        514,        764,       1015,       1279,       1580,       1865,       2117,       2365,       2613,       2858,       3151
          0,        236,        518,        769,       1021,       1285,       1583,       1866,       2121,       2369,       2617,       2864,       3157
          0,        233,        516,        768,       1021,       1285,       1583,       1867,       2119,       2367,       2615,       2863,       3155
          0,        233,        515,        765,       1016,       1280,       1580,       1866,       2118,       2369,       2617,       2862,       3158
          0,        233,        514,        764,       1015,       1279,       1580,       1863,       2115,       2363,       2612,       2857,       3149
          0,        236,        518,        769,       1021,       1285,       1583,       1866,       2121,       2369,       2617,       2864,       3157
          0,        236,        519,        771,       1023,       1287,       1585,       1869,       2124,       2372,       2621,       2869,       3161
          0,        233,        515,        765,       1016,       1280,       1581,       1864,       2116,       2367,       2615,       2860,       3156
          0,        233,        514,        764,       1015,       1279,       1580,       1863,       2115,       2363,       2612,       2857,       3149
          0,        235,        517,        768,       1019,       1283,       1581,       1864,       2118,       2366,       2614,       2861,       3154
          0,        236,        518,        769,       1021,       1285,       1583,       1866,       2121,       2369,       2618,       2865,       3157
          0,        233,        515,        765,       1016,       1280,       1580,       1866,       2118,       2369,       2617,       2862,       3157
          0,        233,        515,        765,       1016,       1280,       1581,       1864,       2116,       2367,       2616,       2861,       3156
          0,        235,        516,        766,       1017,       1281,       1579,       1862,       2116,       2364,       2612,       2858,       3151
          0,        236,        518,        769,       1021,       1285,       1583,       1866,       2121,       2369,       2618,       2865,       3157
          0,        234,        518,        771,       1025,       1289,       1588,       1873,       2125,       2375,       2623,       2868,       3163
          0,        233,        515,        765,       1016,       1280,       1580,       1866,       2118,       2369,       2618,       2863,       3157
          0,        234,        515,        765,       1016,       1280,       1578,       1861,       2114,       2362,       2610,       2855,       3148
          0,        235,        516,        766,       1017,       1281,       1579,       1862,       2116,       2364,       2613,       2859,       3151
          0,        234,        518,        771,       1025,       1289,       1588,       1873,       2125,       2374,       2623,       2868,       3162
          0,        233,        514,        764,       1018,       1282,       1582,       1868,       2120,       2370,       2619,       2864,       3158
          0,        234,        515,        765,       1016,       1280,       1578,       1861,       2114,       2362,       2610,       2855,       3148
          0,        234,        515,        765,       1016,       1280,       1578,       1861,       2114,       2362,       2611,       2856,       3148
          0,        233,        516,        768,       1021,       1285,       1583,       1867,       2119,       2368,       2617,       2865,       3159
          0,        234,        515,        763,       1013,       1276,       1585,       1866,       2117,       2363,       2612,       2858,       3155
          0,        234,        515,        765,       1016,       1280,       1577,       1861,       2113,       2359,       2607,       2852,       3144
          0,        234,        519,        769,       1020,       1284,       1582,       1864,       2117,       2365,       2613,       2858,       3150
          0,        235,        516,        766,       1017,       1281,       1579,       1860,       2114,       2362,       2611,       2857,       3149
          0,        235,        521,        772,       1024,       1288,       1586,       1867,       2122,       2370,       2618,       2865,       3157
          0,        236,        518,        769,       1021,       1285,       1583,       1865,       2120,       2368,       2616,       2863,       3155
          0,        236,        523,        775,       1028,       1292,       1590,       1873,       2125,       2373,       2621,       2869,       3161
          0,        234,        518,        771,       1025,       1289,       1588,       1872,       2124,       2373,       2622,       2867,       3160
          0,        234,        519,        769,       1023,       1287,       1587,       1872,       2124,       2374,       2622,       2867,       3161
          0,        233,        515,        765,       1016,       1280,       1580,       1864,       2116,       2367,       2615,       2860,       3154
          0,        233,        519,        769,       1020,       1284,       1585,       1866,       2118,       2366,       2614,       2859,       3151
          0,        234,        515,        765,       1016,       1280,       1578,       1860,       2113,       2361,       2609,       2854,       3146
          0,        235,        521,        772,       1023,       1287,       1585,       1867,       2121,       2369,       2617,       2864,       3156
          0,        235,        517,        768,       1019,       1283,       1581,       1862,       2116,       2364,       2612,       2859,       3151
          0,        235,        521,        772,       1024,       1288,       1586,       1867,       2122,       2370,       2618,       2865,       3157
          0,        233,        516,        768,       1021,       1285,       1583,       1866,       2118,       2367,       2617,       2865,       3157
          0,        234,        522,        775,       1029,       1293,       1592,       1876,       2128,       2378,       2626,       2871,       3164
          0,        233,        514,        764,       1018,       1282,       1582,       1866,       2118,       2368,       2616,       2861,       3155
          0,        233,        519,        769,       1020,       1284,       1585,       1866,       2118,       2369,       2617,       2862,       3157
          0,        233,        514,        764,       1015,       1279,       1580,       1862,       2114,       2362,       2610,       2855,       3147
          0,        234,        519,        769,       1020,       1284,       1582,       1864,       2117,       2365,       2613,       2859,       3151
          0,        235,        516,        766,       1017,       1281,       1579,       1860,       2114,       2362,       2610,       2856,       3148
