name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"VDSOFixture<VDSO_NOOP>/vdso_noop",419302695,1.66942,1.66942,ns,,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/0",244475397,2.94037,2.94036,ns,0,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/8",184560074,3.80562,3.80562,ns,2.10215e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/16",140277473,4.98833,4.98833,ns,3.20748e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/24",117584298,5.94498,5.94498,ns,4.03702e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/32",100623343,6.95675,6.95675,ns,4.59985e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/40",85718055,8.22321,8.22322,ns,4.86428e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/48",74824675,9.39352,9.39352,ns,5.1099e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/56",66744657,10.4894,10.4894,ns,5.33871e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/64",60325326,11.6148,11.6148,ns,5.5102e+09,,,,
"VDSOFixture<VDSO_COPY_NT>/vdso_copy_nt",6278316,111.499,111.498,ns,5.74e+08,,,,
