      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        257,        631,        882,       1142,       1399,       2113,       2553,       2816,       3080,       3342,       3604,       3961
          0,        223,        563,        816,       1068,       1326,       1590,       1954,       2218,       2482,       2719,       2951,       3242
          0,        219,        510,        744,        999,       1257,       1553,       1885,       2121,       2382,       2619,       2854,       3144
          0,        219,        516,        749,        985,       1228,       1481,       1816,       2053,       2290,       2527,       2759,       3052
          0,        220,        516,        751,        988,       1229,       1482,       1795,       2035,       2271,       2507,       2739,       3029
          0,        220,        511,        744,        981,       1223,       1522,       1833,       2073,       2309,       2545,       2777,       3067
          0,        221,        513,        746,        984,       1228,       1524,       1836,       2076,       2313,       2550,       2782,       3075
          0,        219,        511,        745,        982,       1225,       1478,       1790,       2026,       2263,       2499,       2731,       3228
          0,        220,        512,        745,        983,       1226,       1521,       1833,       2072,       2309,       2547,       2779,       3072
          0,        221,        513,        747,        984,       1227,       1520,       1831,       2068,       2305,       2542,       2774,       3064
          0,        219,        571,        805,       1042,       1285,       1569,       1878,       2118,       2355,       2592,       2825,       3120
          0,        219,        510,        743,        979,       1221,       1474,       1787,       2027,       2264,       2501,       2733,       3026
          0,        220,        511,        744,        981,       1223,       1476,       1788,       2028,       2264,       2501,       2733,       3028
          0,        219,        511,        745,        982,       1225,       1521,       1832,       2069,       2306,       2543,       2775,       3065
          0,        219,        511,        744,        982,       1225,       1520,       1828,       2066,       2303,       2541,       2773,       3069
          0,        219,        510,        744,        981,       1225,       1521,       1829,       2069,       2306,       2543,       2778,       3275
          0,        219,        511,        745,        982,       1225,       1521,       1829,       2065,       2302,       2539,       2774,       3069
          0,        220,        516,        746,        984,       1227,       1480,       1791,       2029,       2267,       2504,       2737,       3028
          0,        218,        560,        793,       1031,       1273,       1566,       1875,       2114,       2352,       2590,       2822,       3118
          0,        220,        511,        743,        980,       1223,       1522,       1833,       2071,       2309,       2546,       2779,       3070
          0,        219,        511,        745,        982,       1226,       1480,       1791,       2027,       2264,       2501,       2736,       3031
          0,        219,        511,        745,        982,       1224,       1523,       1834,       2070,       2307,       2544,       2776,       3066
          0,        219,        510,        743,        979,       1222,       1516,       1825,       2062,       2299,       2536,       2768,       3064
          0,        219,        514,        745,        982,       1225,       1476,       1787,       2024,       2260,       2496,       2728,       3226
          0,        220,        512,        745,        982,       1224,       1524,       1834,       2074,       2310,       2547,       2779,       3069
          0,        219,        510,        743,        979,       1221,       1517,       1825,       2062,       2299,       2536,       2769,       3059
          0,        220,        511,        743,        979,       1222,       1516,       1852,       9757,      10023,      10286,      10547,      10906
          0,        222,        506,        739,        976,       1218,       1470,       1781,       2017,       2250,       2486,       2718,       3005
          0,        219,        502,        736,        971,       1215,       1466,       1778,       2015,       2250,       2489,       2722,       3010
          0,        220,        504,        737,        974,       1216,       1511,       1821,       2059,       2294,       2533,       2765,       3062
          0,        219,        503,        736,        970,       1213,       1507,       1815,       2053,       2288,       2525,       2757,       3046
          0,        222,        506,        739,        976,       1222,       1518,       1827,       2066,       2302,       2537,       2769,       3267
          0,        220,        504,        736,        972,       1215,       1511,       1820,       2058,       2294,       2533,       2764,       3052
          0,        219,        503,        737,        974,       1218,       1469,       1777,       2016,       2251,       2490,       2723,       3020
          0,        219,        608,       1762,       1997,       2240,       2536,       2844,       3083,       3318,       3557,       3790,       4078
          0,        218,        502,        734,        970,       1213,       1463,       1773,       2011,       2249,       2486,       2717,       3005
          0,        219,        509,        744,        979,       1222,       1473,       1784,       2021,       2256,       2495,       2727,       3015
          0,        219,        503,        736,        970,       1212,       1505,       1815,       2052,       2287,       2526,       2758,       3045
          0,        219,        503,        735,        971,       1214,       1512,       1823,       2061,       2297,       2534,       2765,       3053
          0,        221,        505,        739,        974,       1216,       1511,       1820,       2058,       2293,       2530,       2765,       3264
          0,        222,        506,        739,        976,       1218,       1512,       1821,       2059,       2293,       2529,       2761,       3053
          0,        219,        504,        737,        973,       1219,       1470,       1782,       2020,       2257,       2495,       2727,       3022
          0,        219,        506,        739,        977,       1221,       1515,       1825,       2065,       2300,       2540,       2772,       3067
          0,        221,        504,        738,        973,       1216,       1510,       1820,       2060,       2295,       2534,       2767,       3054
          0,        218,        502,        734,        970,       1213,       1464,       1777,       2015,       2253,       2490,       2721,       3009
