noop,fork-simple,vfork-simple
20,40904,13966
28,41955,9924
21,41365,10047
21,44921,13009
21,41546,15548
21,40915,13229
21,40343,9903
22,43896,9398
21,41995,15302
21,40225,9662
21,44072,9861
22,40309,9962
21,40704,14747
21,40360,9517
22,43733,9636
21,40868,10618
22,40385,14034
21,45117,11298
21,43972,9937
23,41120,9986
22,40837,16227
21,44143,12809
22,42192,9389
21,42034,15583
20,41089,15953
21,43562,9569
21,41690,9829
21,41307,9751
21,41213,13563
21,44331,9778
21,41367,9640
21,40875,11128
21,40895,14992
22,43245,9395
22,41022,9564
20,40275,10351
21,43233,18081
22,41465,9187
21,41799,10047
20,40101,9864
21,159772,14815
22,41472,9495
20,40835,9907
21,41543,9415
21,44604,14500
21,41077,14943
21,41734,9692
21,44583,9415
21,41087,15599
21,41299,9670
20,41002,10015
20,43997,15821
21,41334,19671
21,41224,9491
22,40441,9989
21,44602,9702
21,40779,15535
21,41288,9937
21,43940,9377
21,41143,11840
21,40488,14419
22,41234,9220
22,44262,9543
21,42554,9479
21,40814,15427
21,41131,10119
20,43723,10302
21,41561,13462
21,40731,12674
21,40255,9831
21,45555,9767
21,42545,9635
21,41950,14936
21,44888,11474
21,40386,10105
21,41244,9752
21,41662,15145
21,44202,9981
22,40534,13228
21,41524,15134
21,40535,12802
21,44180,10132
21,41503,9432
21,41205,14176
22,43696,16044
22,44022,9556
21,40807,9425
20,42565,13948
21,44380,13995
21,40480,9902
21,40363,9772
22,43069,9746
22,43455,13923
21,40661,9781
20,40757,9445
21,45762,9751
20,42111,13034
21,40637,9598
22,40401,13016
21,46060,10061
22,41734,14026
21,40501,11898
22,39375,9349
21,46061,9339
21,42190,14736
21,41776,9743
21,43322,9664
21,43071,14164
21,42294,14788
21,40930,9533
20,44583,9763
21,43645,9704
21,41471,13392
21,40987,9757
21,43900,13655
21,42058,12306
21,40767,16161
21,40866,10299
21,43659,9748
21,42773,9789
21,40630,13568
20,43492,10313
21,40114,9492
21,42844,10097
21,41414,14431
21,44414,9286
21,41204,9752
20,42999,9236
21,40693,13041
21,44220,17482
21,40819,9638
21,41708,9873
21,44551,14865
21,41323,9713
20,40961,10073
21,41727,12832
21,44980,12160
21,41467,9433
21,40651,9638
22,40148,9759
21,44080,12781
21,40068,9749
21,40526,9504
20,43685,11459
22,39992,15263
21,40508,12799
21,39806,9907
22,42499,9960
21,40904,14129
21,41581,9814
20,41665,9678
21,44633,9504
21,41770,12345
21,41135,9495
21,40899,9513
21,44575,9654
21,41179,13633
21,41029,12363
21,44075,9736
21,41935,9530
21,42149,15946
21,41431,9690
21,44321,10286
21,41655,13741
21,41584,12934
21,42272,9533
20,44237,9510
21,40925,9698
20,41499,13741
21,45882,9623
21,40240,10135
21,39522,13261
21,39994,14454
21,45183,9918
21,41167,10013
21,40883,9878
21,41224,16454
21,45179,10554
20,41265,9429
21,41082,10231
21,43707,12984
21,43472,9479
21,41727,9916
21,41251,9599
21,44499,11851
21,43670,12187
21,41393,9494
21,40694,9760
22,43578,12776
21,42791,9375
21,41424,9917
21,41607,16494
20,44699,12491
21,42080,9340
21,40113,9307
21,43660,9652
21,41173,14022
21,42813,10070
21,39843,9750
22,45580,11133
21,41830,13430
20,41866,9540
21,40940,9800
21,44009,10124
22,41661,12649
20,43038,9192
21,43817,13150
21,41535,9645
21,41672,11541
21,43109,9406
21,43644,9808
21,41977,10744
21,41194,14861
21,42524,13524
22,44586,9655
20,42489,9709
21,41439,12453
21,45993,9608
21,42173,9510
21,40919,13890
21,40472,12425
21,46201,12780
21,41429,9547
21,41116,9584
21,40415,13769
22,43431,9395
21,40546,9586
21,40067,12058
21,40402,11808
21,43620,9299
21,40600,9539
21,40938,9838
22,45670,11761
20,41761,9829
21,40735,9471
21,41009,9836
21,44199,13566
22,41073,12714
21,41822,9683
21,41329,9965
21,43684,12712
21,40607,11927
22,41061,9631
21,44214,10595
21,41566,12610
21,43188,9593
21,41831,9885
21,44648,14187
20,44182,11645
21,40449,9559
22,40452,9436
21,43124,10075
21,41827,16040
21,39826,9704
21,43041,9600
21,40921,13491
21,42586,12779
21,41715,9726
21,43918,9515
21,40659,9898
21,42693,11889
22,40639,9655
21,44353,9459
21,41478,9455
21,43011,13398
21,41118,9716
22,43160,9596
21,42448,9656
21,44278,15778
21,44308,12228
21,41259,10869
21,41723,9401
20,43224,12567
21,44551,9504
21,40820,9702
22,40758,14002
20,43675,12691
22,43850,9274
21,40162,9588
21,40654,9640
21,45006,12007
22,40030,9583
21,40909,9335
21,41011,16366
21,46269,11994
22,41665,9542
20,42129,9527
21,40887,9723
21,46414,11745
21,41662,9189
21,40425,9844
20,44776,9832
21,43506,12291
21,41225,9256
21,41718,9608
22,45686,9451
20,44108,15593
21,41134,13130
21,41294,9818
21,44993,12980
21,42656,14114
20,40838,9722
21,40760,10083
21,44062,13846
21,43896,15726
21,40373,9748
22,43698,9736
21,40599,10394
20,42452,13768
21,40845,9543
21,43497,9626
20,41336,12294
21,44002,12995
21,148535,9707
21,44703,12810
22,41857,9714
21,41634,13966
21,44285,9388
21,41029,9575
21,42037,9514
22,40832,11887
21,44412,10269
21,41343,9859
21,41154,9807
21,41532,13777
20,44428,12233
21,41806,9463
21,41857,9397
22,44363,503749
21,40716,9688
21,40129,13225
21,40386,9875
21,44137,9820
