      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        276,        641,        893,       1146,       1460,       2097,       2513,       2778,       3043,       3305,       3566,       3968
          0,        220,        561,        816,       1068,       1325,       1631,       1942,       2206,       2444,       2681,       2942,       3234
          0,        219,        506,        740,        977,       1221,       1508,       1820,       2056,       2293,       2530,       2762,       3052
          0,        221,        508,        741,        978,       1221,       1473,       1786,       2023,       2260,       2497,       2729,       3022
          0,        222,        506,        738,        976,       1218,       1469,       1781,       2020,       2255,       2493,       2725,       3018
          0,        219,        506,        739,        977,       1221,       1516,       1828,       2068,       2304,       2541,       2773,       3066
          0,        222,        507,        740,        977,       1219,       1515,       1827,       2064,       2300,       2536,       2768,       3058
          0,        219,        504,        737,        975,       1218,       1514,       1822,       2059,       2295,       2533,       2765,       3264
          0,        246,        623,        856,       1093,       1336,       1631,       1939,       2176,       2412,       2650,       2882,       3172
          0,        219,        506,        739,        976,       1221,       1473,       1785,       2022,       2258,       2496,       2728,       3018
          0,        219,        503,        736,        972,       1216,       1512,       1824,       2064,       2300,       2537,       2770,       3060
          0,        218,        503,        736,        974,       1216,       1514,       1823,       2061,       2296,       2534,       2766,       3059
          0,        219,        504,        738,        975,       1218,       1471,       1784,       2020,       2257,       2494,       2726,       3016
          0,        220,        504,        737,        974,       1217,       1513,       1826,       2067,       2305,       2542,       2775,       3071
          0,        221,        505,        738,        971,       1214,       1510,       1821,       2061,       2298,       2535,       2767,       3060
          0,        219,        508,        743,        980,       1223,       1477,       1789,       2028,       2263,       2501,       2733,       3228
          0,        241,        525,        758,        995,       1237,       1533,       1843,       2080,       2313,       2549,       2781,       3071
          0,        219,        503,        737,        974,       1217,       1513,       1821,       2061,       2297,       2534,       2769,       3059
          0,        219,        503,        802,       1039,       1282,       1578,       1886,       2126,       2362,       2599,       2832,       3122
          0,        219,        503,        736,        972,       1216,       1470,       1779,       2016,       2252,       2489,       2722,       3012
          0,        220,        504,        736,        973,       1214,       1468,       1782,       2023,       2261,       2498,       2731,       3022
          0,        220,        504,        737,        974,       1215,       1511,       1825,       2063,       2301,       2538,       2771,       3067
          0,        220,        504,        737,        974,       1216,       1513,       1823,       2061,       2298,       2534,       2766,       3056
          0,        221,        505,        739,        976,       1221,       1516,       1824,       2061,       2298,       2534,       2769,       3265
          0,        402,        686,        920,       1157,       1401,       1696,       2004,       2244,       2481,       2718,       2953,       3243
          0,        219,        504,        738,        975,       1219,       1473,       1786,       2026,       2262,       2498,       2730,       3020
          0,        218,        502,        734,        971,       1244,       1538,       1873,       2110,       2344,       2581,       2814,       3105
          0,        219,        503,        737,        974,       1218,       1518,       1828,       2065,       2301,       2537,       2772,       3062
          0,        219,        506,        739,        977,       1220,       1471,       1783,       2020,       2256,       2495,       2727,       3017
          0,        219,        503,        736,        972,       1216,       1511,       1818,       2055,       2291,       2527,       2760,       3050
          0,        243,        528,        761,        999,       1243,       1540,       1848,       2086,       2321,       2559,       2791,       3084
          0,        220,        504,        737,        974,       1217,       1471,       1784,       2022,       2259,       2496,       2728,       3223
          0,        219,        503,        736,        973,       1215,       1510,       1818,       2055,       2291,       2528,       2760,       3053
          0,        220,        504,        736,        973,       1216,       1513,       1822,       2060,       2297,       2534,       2767,       3058
          0,        219,        503,        735,        973,       1217,       1514,       1824,       2061,       2295,       2532,       2765,       3056
          0,        219,        504,        738,        975,       1219,       1472,       1784,       2020,       2256,       2493,       2728,       3018
          0,        419,        704,        937,       1175,       1418,       1671,       1982,       2220,       2455,       2692,       2925,       3216
          0,        220,        504,        736,        974,       1216,       1513,       1823,       2061,       2298,       2535,       2768,       3059
          0,        219,        511,        745,        982,       1226,       1522,       1830,       2066,       2302,       2539,       2771,       3061
          0,        218,        660,        892,       1130,       1374,       1668,       1980,       2219,       2452,       2690,       2922,       3421
          0,        220,       1048,       1281,       1518,       1761,       2058,       2370,       2606,       2842,       3079,       3311,       3601
          0,        220,        516,        750,        987,       1228,       1482,       1796,       2034,       2271,       2507,       2740,       3031
          0,        218,        503,        736,        974,       1218,       1514,       1826,       2064,       2300,       2538,       2770,       3063
          0,        219,        510,        744,        981,       1225,       1526,       1836,       2073,       2309,       2546,       2781,       3071
          0,        218,        503,        736,        974,       1217,       1471,       1783,       2021,       2257,       2495,       2727,       3020
          0,        445,        732,        965,       1203,       1447,       1741,       2054,       2291,       2527,       2765,       2997,       3287
          0,        219,        669,        902,       1139,       1382,       1677,       1986,       2223,       2459,       2698,       2930,       3220
          0,        219,        513,        746,        984,       1227,       1481,       1793,       2030,       2266,       2505,       2737,       3236
          0,        219,        510,        743,        980,       1222,       1518,       1827,       2064,       2300,       2537,       2769,       3062
          0,        219,        511,        744,        982,       1225,       1476,       1788,       2025,       2261,       2499,       2731,       3024
          0,        219,        513,        961,       1198,       1441,       1736,       2045,       2282,       2518,       2756,       2988,       3278
          0,        219,        510,        743,        979,       1221,       1516,       1825,       2062,       2298,       2535,       2767,       3060
          0,        222,        513,        746,        982,       1225,       1478,       1790,       2026,       2258,       2494,       2726,       3016
