name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",17441361,40.0833,40.0833,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",14761740,47.3846,47.3845,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",13317108,52.6105,52.6103,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",13755514,50.8051,50.8057,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",11419165,61.2399,61.2396,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",11310065,61.9374,61.9373,ns,1.29163e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",11140755,62.7259,62.7225,ns,2.55092e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",11154518,62.7169,62.716,ns,3.82678e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",10942727,63.9314,63.9312,ns,5.00538e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",10844902,64.5065,64.5016,ns,6.20139e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",10756797,65.0865,65.0846,ns,7.37502e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",10800774,64.9869,64.9843,ns,8.61747e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",10664906,65.6536,65.653,ns,9.74822e+08,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2356591,249.74,249.743,ns,2.56264e+08,,,,
