name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"syscall_sys_ni_syscall",11884321,58.8515,58.8071,ns,,,,,
"syscall_array/0",8936609,78.3873,78.3314,ns,0,,,,
"syscall_array/8",7712958,90.786,90.7135,ns,8.81897e+07,,,,
"syscall_array/16",7660611,91.6431,91.5722,ns,1.74725e+08,,,,
"syscall_array/24",7622503,91.8743,91.8084,ns,2.61414e+08,,,,
"syscall_array/32",7602187,92.1356,92.0686,ns,3.47567e+08,,,,
"syscall_array/40",7607334,92.0691,92.0094,ns,4.34738e+08,,,,
"syscall_array/48",7568432,92.7265,92.6652,ns,5.17994e+08,,,,
"syscall_array/56",7523333,92.9447,92.8892,ns,6.02869e+08,,,,
"syscall_array/64",7454705,94.112,94.0563,ns,6.80444e+08,,,,
"syscall_nt",2487526,281.3,281.143,ns,2.27642e+08,,,,
