name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",19017071,36.8656,36.8466,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",14755601,47.5597,47.5354,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",13283322,52.9261,52.9004,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",13749974,50.9469,50.922,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",11359371,61.4679,61.4355,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",11273979,62.1407,62.11,ns,1.28804e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",11123960,62.9078,62.8762,ns,2.54468e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",11128675,62.9214,62.8946,ns,3.81591e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",10958636,63.9548,63.9253,ns,5.00584e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",10854045,64.5523,64.5179,ns,6.19983e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",10761179,65.1207,65.0919,ns,7.37419e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",10760203,65.1057,65.0781,ns,8.60504e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",10650767,65.6714,65.6395,ns,9.75023e+08,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2524581,285.208,285.085,ns,2.24494e+08,,,,
