name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"VDSOFixture<VDSO_NOOP>/vdso_noop",298654060,2.31413,2.31414,ns,,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/0",44821129,15.6695,15.6698,ns,0,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/8",43428982,15.7113,15.7109,ns,5.092e+08,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/16",43351791,16.0618,16.062,ns,9.96142e+08,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/24",43493021,16.3246,16.3247,ns,1.47016e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/32",41911080,16.6414,16.6417,ns,1.92288e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/40",41068114,17.0276,17.0278,ns,2.3491e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/48",40197641,17.6889,17.6888,ns,2.71358e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/56",38872696,17.9559,17.9562,ns,3.1187e+09,,,,
"VDSOFixture<VDSO_COPY_ARRAY>/vdso_copy_array/64",38408858,18.3399,18.3399,ns,3.48966e+09,,,,
"VDSOFixture<VDSO_COPY_NT>/vdso_copy_nt",2510645,278.799,278.799,ns,2.29556e+08,,,,
