noop,vdso,syscall,ioctl
36,39,299,334
37,52,368,432
8,22,315,382
11,19,287,479
11,18,288,346
9,14,283,351
10,11,290,360
8,11,288,346
8,11,282,338
8,12,283,342
11,11,288,351
8,11,285,357
10,14,288,343
7,11,291,350
7,13,18446744073709486363,355
12,13,282,396
15,13,289,364
10,22,297,359
10,13,286,363
11,14,280,344
7,15,278,351
8,12,454,341
10,13,293,468
9,20,358,362
9,16,287,348
11,16,284,349
8,11,282,335
7,14,280,337
6,11,284,348
13,12,284,531
8,16,290,352
10,20,357,354
11,14,290,338
8,12,365,351
8,13,289,332
8,20,282,417
12,20,293,343
16,22,284,344
13,19,286,338
8,21,285,344
8,15,285,331
8,22,279,345
8,21,286,343
6,15,294,344
9,12,286,349
11,20,291,335
7,15,287,346
9,13,298,346
10,15,289,359
8,20,276,340
10,20,281,343
12,15,278,348
16,19,281,361
10,19,282,337
8,19,279,328
10,14,276,328
10,19,18446744073709486358,522
7,14,360,346
11,20,281,345
10,20,282,347
8,15,288,352
8,13,281,350
10,12,286,352
7,13,380,528
8,22,288,351
7,22,281,348
10,16,291,337
8,13,288,351
12,15,288,330
16,12,284,421
7,15,275,357
8,15,281,18446744073709486418
10,12,280,358
7,16,282,349
10,19,275,350
8,12,277,340
12,13,285,338
16,19,280,340
8,20,282,339
10,12,284,363
8,13,277,353
8,12,279,349
12,13,335,352
16,15,288,351
8,20,289,344
11,19,278,351
10,19,282,343
10,19,279,347
8,19,281,346
8,19,285,353
8,14,276,348
10,16,285,348
10,12,18446744073709486364,353
8,12,290,345
13,12,284,341
10,16,278,348
7,12,288,394
10,20,288,347
8,21,290,538
8,16,364,342
10,15,285,339
9,16,284,327
10,18,286,333
9,20,283,338
10,20,283,333
10,19,284,343
8,14,279,515
10,11,280,347
6,16,279,353
9,14,359,358
8,19,289,342
9,12,287,346
10,19,280,345
11,12,284,348
8,21,281,329
10,19,292,345
8,19,289,349
9,13,280,347
10,15,280,350
10,19,288,350
10,13,286,354
10,12,461,345
11,12,295,347
9,12,282,348
10,12,278,347
18446744073709486088,13,279,346
8,12,281,348
11,11,278,347
8,12,279,428
8,13,289,348
10,12,280,430
10,16,283,341
15,14,439,347
16,12,293,350
9,11,282,336
10,20,285,522
7,19,288,347
8,14,279,359
11,14,281,353
9,12,284,350
15,14,323,348
16,14,288,352
10,19,287,344
11,19,288,356
8,19,281,350
10,14,290,347
10,20,280,350
10,12,288,351
10,12,285,440
12,20,281,351
16,20,278,340
10,20,283,347
10,14,281,348
7,14,288,353
10,19,283,346
8,12,285,351
9,13,292,337
9,12,295,347
10,13,289,353
10,12,287,351
10,13,285,353
11,20,290,340
10,11,280,343
8,14,285,355
10,12,284,357
10,14,451,354
10,14,301,355
10,14,291,358
10,14,291,354
10,14,288,354
10,19,284,352
12,19,280,356
16,12,277,351
11,19,279,349
7,19,283,350
7,19,296,359
