name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",19391175,36.5624,36.5706,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",14806800,47.2793,47.2887,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",13361121,52.2495,52.2591,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",13835566,50.6819,50.6919,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",11528778,61.1024,61.1123,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",11388722,61.8956,61.9053,ns,1.2923e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",11223316,62.7173,62.7289,ns,2.55066e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",11214706,62.4713,62.4821,ns,3.8411e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",10986145,63.7803,63.7918,ns,5.01632e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",10933784,64.0474,64.0572,ns,6.24442e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",10833936,64.9794,64.9886,ns,7.38591e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",10842211,64.7131,64.7237,ns,8.65217e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",10758404,65.4771,65.4877,ns,9.77283e+08,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2600455,278.749,278.792,ns,2.29562e+08,,,,
