name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"IOCTLFixture/ioctl_noop",7135667,98.0293,98.0303,ns,,,,,
"IOCTLFixture/ioctl_array/0",4809170,145.664,145.663,ns,0,,,,
"IOCTLFixture/ioctl_array/8",4323663,161.285,161.286,ns,4.96014e+07,,,,
"IOCTLFixture/ioctl_array/16",4320040,162.123,162.124,ns,9.86897e+07,,,,
"IOCTLFixture/ioctl_array/24",4317501,162.028,162.029,ns,1.48122e+08,,,,
"IOCTLFixture/ioctl_array/32",4299311,162.659,162.66,ns,1.96729e+08,,,,
"IOCTLFixture/ioctl_array/40",4287074,163.093,163.095,ns,2.45256e+08,,,,
"IOCTLFixture/ioctl_array/48",4273116,163.386,163.387,ns,2.9378e+08,,,,
"IOCTLFixture/ioctl_array/56",4273067,163.868,163.869,ns,3.41736e+08,,,,
"IOCTLFixture/ioctl_array/64",4217830,166.104,166.106,ns,3.85297e+08,,,,
"IOCTLFixture/ioctl_nt",1523640,459.164,459.169,ns,1.39382e+08,,,,
