name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"syscall_sys_ni_syscall",8176213,85.7117,85.7126,ns,,,,,
"syscall_array/0",6594005,106.147,106.146,ns,0,,,,
"syscall_array/8",5868874,119.213,119.214,ns,6.71061e+07,,,,
"syscall_array/16",5825303,120.187,120.188,ns,1.33125e+08,,,,
"syscall_array/24",5779353,120.85,120.851,ns,1.98592e+08,,,,
"syscall_array/32",5778188,120.802,120.804,ns,2.64893e+08,,,,
"syscall_array/40",5793117,120.822,120.823,ns,3.31062e+08,,,,
"syscall_array/48",5770055,121.487,121.489,ns,3.95099e+08,,,,
"syscall_array/56",5735534,121.968,121.969,ns,4.59131e+08,,,,
"syscall_array/64",5650788,124.129,124.13,ns,5.15587e+08,,,,
"syscall_nt",1682566,416.376,416.38,ns,1.53706e+08,,,,
