noop,vdso,syscall,ioctl
2002,2704,3086,2791
1637,1689,1997,1880
1983,1398,1740,1755
1340,1517,1631,1731
1315,1292,1872,1718
1292,1453,1772,1731
1320,12411,1554,1716
1309,1321,1579,1742
1314,1314,1587,1957
1503,1293,1586,1839
1733,1297,1580,11842
1389,1293,1576,1724
1539,1299,2837,1725
1303,1333,1667,1700
1550,1299,1715,2619
1364,1305,1608,1714
1312,1323,1572,1697
1490,1321,1566,1700
1462,1290,1639,1979
1350,1449,1580,1684
1601,1287,1556,1697
1282,1272,1568,1684
1263,1309,1667,1792
1376,1348,1584,1683
1332,1348,1547,1682
1313,1347,1668,1692
1281,1294,1897,1759
1653,1353,1595,1688
1342,1300,1568,1685
1372,1323,1592,1690
1262,1291,1802,1892
12708,1458,1585,1695
1496,1324,1559,1702
1290,1278,1812,1698
1291,1326,1645,1764
1376,1341,1804,1710
1297,1534,1692,1704
1289,1280,1593,2181
1274,1291,1662,1781
1375,1605,1592,1980
1303,1289,1566,1701
1459,1269,1573,1769
1296,1358,1635,1770
1436,1353,1593,1677
1329,1297,1577,1756
1809,1302,1819,1703
1332,1297,1666,2050
2800,1361,1595,1686
1522,1285,1550,1698
1262,1297,1559,1711
1534,1304,1635,1773
1290,1345,1586,1692
1343,1279,1603,1698
1307,1261,1555,1709
3278,1445,1649,4187
1592,1333,1666,1704
1373,34657,1553,1703
1281,1290,1614,1699
1272,1382,1651,1760
1270,1308,1588,1684
1491,1502,160080,1970
1316,1304,1639,1732
1283,1396,1648,1773
1534,1323,1575,1706
1497,1751,1638,1697
1331,1308,1700,1691
1613,1447,1638,1767
1304,1415,1583,1777
1441,1285,1557,1695
1306,1317,1567,1685
1341,1627,1760,1835
1264,1305,1599,1687
1375,1286,1566,1961
1543,1311,1562,1690
1286,1359,1643,1792
1272,1303,1594,1698
1568,1286,1556,1710
1721,1570,1557,1757
1295,1584,1783,1777
1266,1265,1655,1917
1350,1495,1567,1696
1297,1304,1567,1708
1278,1373,1682,1760
1303,1319,1594,1711
1535,1288,1558,1697
1528,1297,1561,1694
1301,1547,1635,1769
1282,1527,1595,1715
1337,1306,1560,1701
1309,1301,1557,1707
1277,1702,1971,1845
1261,1307,1611,1682
1394,1436,1565,1698
1536,1321,1697,1690
1294,1568,1635,1775
1291,1300,1589,1678
1461,1487,1777,1697
1306,1302,1569,1698
1279,1548,1662,1773
1254,1311,1592,1690
1334,1566,1556,1692
1559,1816,1726,1698
1262,1504,1614,1733
1257,1316,1792,1816
1337,1278,1753,1699
1334,1304,1757,1729
1296,1503,1699,1794
1306,1297,1594,1732
1369,1294,1585,2178
1724,1306,1577,1719
1651,2126,1670,1844
1496,1511,1605,1711
1374,1306,1562,1980
1327,1299,1773,1802
1527,1532,1888,1893
1290,1308,1593,1693
1333,1337,1547,1695
1283,1356,1565,1697
1272,1366,1715,1772
1282,1290,1661,1905
1341,1311,1572,1702
1329,1298,1570,1875
1290,1579,1673,1773
1261,1287,1604,1701
1564,1329,1566,1696
1352,1304,1566,1715
1280,1592,1661,1768
1583,1346,1676,1940
1390,1320,1548,1697
1328,1527,1555,1707
16022,1592,1653,2084
1228,1330,1777,1696
1387,1288,1550,1943
1329,1324,1560,1738
1514,1610,1658,1778
1266,1420,1590,1702
1335,1285,1556,1734
1284,1436,1574,1704
1294,1374,1711,1763
1287,1299,1600,1699
1398,1287,1559,1947
1279,1301,1566,1724
1304,1371,1664,1761
1434,1406,1593,1684
1374,1312,1554,1699
1283,1294,1560,1787
1283,1366,1643,1764
1307,1469,1578,1715
1457,1493,1563,1705
1296,1304,1557,1704
1299,1364,1645,1844
1286,1322,1596,1693
1456,1348,1551,1704
1417,27856,1563,1700
1287,1627,1646,1797
1282,1405,1590,1747
1344,1324,1559,1707
1300,1300,1556,1717
1322,1636,1647,1782
1294,1312,16717,1686
1354,1303,1538,1706
1288,1294,1565,1701
1268,1756,1756,2012
1286,1303,1575,1701
1342,1319,1555,1708
1298,1291,1560,1703
1275,1368,1642,1982
1310,1327,1583,1687
1359,1313,1554,1694
1328,1308,1558,1747
1281,1737,1648,1781
1290,1309,1725,1714
1440,1299,1552,1690
1324,1303,1569,1700
1521,1364,1708,1823
1258,1291,1585,1696
1358,1326,1557,1702
1310,1298,1563,1716
1290,1380,1666,1761
1252,1451,1590,1691
1356,1324,1559,1692
1356,1329,1557,1703
1272,1565,1651,1767
1274,1295,1590,1834
1366,1405,1715,1698
1286,1308,1562,1707
1297,1358,1651,1766
1282,1502,1584,1702
1361,1320,1551,1698
1335,1550,1583,1703
1329,1395,1661,1764
1255,1286,1586,1743
1359,1296,1560,1688
1556,1294,1560,1703
1285,1384,1665,1801
1275,1525,1590,1696
1350,1297,1551,1692
1325,1536,1575,1850
1316,1370,1670,1832
1276,1538,1673,1693
1351,1305,1709,1696
1270,1311,1563,1705
1270,1375,1734,1762
1274,1496,1588,1717
1339,1337,1560,1702
1307,1321,1573,1706
1326,1362,1650,1896
1300,1366,1580,1685
1377,1326,1555,1691
1301,1327,1561,1707
1305,1400,1658,1752
1523,1298,1594,1683
1582,1494,1547,1737
1327,1406,1572,1703
1265,1366,1726,1841
1281,1323,1590,1768
1352,1336,1551,1822
1922,1348,1572,1706
1296,1361,1655,1760
1279,1281,1590,1685
1334,1300,1570,1698
1298,1295,1569,1695
1362,1369,1664,1864
1258,1300,1587,1708
1339,1456,1576,1688
1281,1330,1572,1709
1285,1389,1674,1752
1257,1316,1592,1722
1345,1379,1544,1701
1306,12103,1565,1704
1506,1593,1798,1744
12340,1466,1600,1702
1625,1326,1557,1701
1264,1279,1563,1699
1265,1369,1674,1758
1276,1307,1579,1693
1352,1320,1560,1956
1287,1290,1561,1706
1288,1363,1673,1757
1286,1275,1592,1689
1358,1295,1550,1711
1374,1307,1582,1711
1270,1628,1839,1756
1265,1317,1884,1686
1355,1517,1563,1692
1296,1291,1574,1708
1320,1424,1742,1933
1247,1304,1621,1688
1380,1538,1549,1693
1282,1294,1576,1700
1261,1360,1881,1750
1267,1537,1653,1691
1328,1323,1556,1706
1282,1305,1750,1704
1294,1563,1822,1762
1274,1292,1592,1695
1351,1294,1559,1690
1314,1300,1575,1712
1277,1355,1665,1796
1273,1275,1702,1704
1355,1302,2046,1683
1317,1307,1850,1705
1273,1395,1672,1749
1267,1357,1964,1694
1339,1295,1564,1698
1307,1292,1556,1705
1492,1361,1664,1763
1281,1316,1585,1684
1376,1513,1559,1687
1301,1444,1561,1706
1280,1359,1671,1754
1260,1300,1593,1693
1365,1290,1756,1687
1309,1314,1561,1696
1263,1356,1673,1751
1265,1307,1880,1706
1339,1394,1554,1695
1280,1302,1561,1744
1257,1638,1669,1751
1258,1292,1594,1687
1379,1320,1556,1753
1407,1500,1763,1704
1255,1363,1898,1832
1261,1401,1589,1741
1350,1279,1717,1699
1307,1334,1559,1711
1279,1376,1645,1748
1256,1302,1955,1688
1357,1692,1763,1692
1320,1300,1561,1693
1260,1353,1652,1761
1270,1578,1586,1701
1342,1507,1545,1685
1279,1300,1560,1694
1259,1360,1653,1756
1286,1311,1592,1688
1348,1290,1579,1683
1282,1518,1569,1957
1253,1344,1650,1754
1272,1340,1583,1689
1331,1316,1559,1687
1279,1563,1566,1695
1294,1568,1738,1750
1282,1319,1646,1731
1333,1419,1548,1765
1568,1387,1553,1698
1274,1626,1650,1749
1275,1290,1580,1813
1324,1292,1545,1724
1309,1296,1799,1700
1283,1384,1640,1746
1261,1313,1574,1687
1357,1305,1689,2217
1284,1296,1794,1838
1269,1350,1648,1818
1281,1370,2019,1710
1324,1458,1545,1704
1316,1329,1551,1694
1363,1363,1643,1733
1253,1299,1786,1710
1370,1298,1549,1706
1286,1287,1555,1690
1267,1423,1656,1908
1280,1283,1589,1682
1323,1284,1543,1711
1305,1325,1548,1681
1255,1362,1639,2058
1254,1529,1577,1699
1367,1311,1550,1900
1346,1387,1609,1685
1264,1382,1653,1713
1258,1281,1574,1774
1506,1558,1554,1697
1325,1340,1751,1687
1447,1360,1648,1724
1263,1314,1588,1702
1423,1285,1553,1704
1472,1323,1555,1682
1272,1344,1645,1703
1280,1301,1590,1695
1337,1292,1543,1703
1342,1363,1557,1694
1258,1434,1925,1721
1488,1464,1585,1709
1452,1288,1541,1716
1301,1328,1551,1684
1252,1428,1644,1712
1276,1283,1590,1710
1445,1312,1559,1701
1277,1328,1550,1687
1249,1360,1642,1698
1264,1320,1585,1698
1323,1432,1558,1707
1316,1304,1631,1690
1246,1375,1642,1705
1254,1301,1579,1697
1318,1297,1546,1706
1328,1325,1551,1688
1302,1375,1642,1890
1245,1294,1588,1810
1348,1291,1554,1704
1303,1295,1651,1829
1256,1363,1910,1713
1542,1362,1585,1698
1318,1307,2144,1703
1322,1291,1558,1686
1250,1367,1702,1709
1251,1299,1588,1696
1345,1288,1558,1705
1348,1319,1565,1686
1396,1623,1643,1704
1277,1297,1589,1720
1334,1315,1741,1716
1314,1320,1582,1687
1305,1367,1665,1724
1256,1276,1828,1707
1329,1283,1563,1693
1290,1334,1572,1688
1320,1357,1684,1716
1273,1267,1592,1695
1331,1307,1573,1693
1304,1296,1557,1681
1294,1366,1724,1718
1278,1297,2050,1729
1354,1311,1564,1705
1329,1315,1555,1692
1292,1370,1872,1718
1281,1279,1739,1704
1326,1299,1594,1706
1307,1317,1564,1682
1283,1354,1656,1720
1254,1299,1583,1689
1339,1351,1568,1712
1329,1298,1575,1698
1288,1382,1895,1715
1277,1277,1659,1734
1338,1300,1570,1710
1283,1325,1582,1683
1313,1353,1647,1714
1269,1303,1834,1695
1348,1322,1565,1699
1308,1279,1850,1795
1269,1532,1661,1712
1278,1279,1594,1696
1366,1286,1587,1704
1356,1321,1779,1685
1290,1362,1907,1716
1252,1281,1594,1694
1373,1504,1762,1705
1310,1325,1556,1697
1484,1371,1880,1708
1264,1314,1656,1705
1356,1295,1563,23676
1287,1342,1559,1660
1247,1362,1661,1711
1276,1301,1593,1697
1355,1303,1566,1702
1287,1318,1583,1683
1254,1371,2158,1728
1295,1455,1817,1699
1527,1303,1569,1704
1291,1305,1562,1676
1299,1372,1687,1728
1276,1301,1856,1911
1325,1298,1702,1948
1282,1332,1563,1733
1502,1366,2247,1712
1288,1310,1595,1692
1347,1286,1559,1705
1292,1292,1570,1683
1470,1617,1677,1710
1350,1315,1587,1692
11305,1324,1553,1705
1275,1309,2026,1724
1292,1356,1655,2124
1282,1301,1823,1695
1340,1310,1953,1715
1327,1289,1564,1713
1256,1366,1740,1732
1263,1286,1633,1697
1383,1296,1749,1708
1321,1296,1763,1685
1273,1355,1648,1718
1282,1297,1588,1702
1436,1301,1564,1784
1315,1315,1568,1683
1340,1532,1681,1707
1286,1535,1737,1699
1308,1316,1554,1704
1279,1300,1570,1684
1262,1363,1687,1737
1331,1278,1589,1695
1300,1301,1788,1702
1278,11817,6515,1683
1259,1371,1676,1719
1312,1319,1602,1688
1289,1322,1550,1703
1300,1300,1564,1675
1256,1354,1785,1725
1323,1308,1602,1955
1315,1311,1543,1710
1287,1322,1607,1724
1260,1375,1876,1731
1328,1276,1771,1689
1300,1306,1800,1720
1392,1462,1755,1812
1264,1387,1827,1710
1332,1471,1586,1694
1318,1293,1552,12682
1284,1300,1664,1749
1265,1373,1654,1888
1315,1288,1606,1703
1298,1292,1543,1707
1284,1303,1546,1685
1264,1381,1865,1725
1330,1297,1604,1702
1284,1314,1619,1709
1277,1551,1565,1709
1280,1413,1650,1721
1332,1292,1596,1761
1313,1327,1556,1698
1272,1323,1565,1683
