name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"syscall_sys_ni_syscall",5448407,127.839,127.836,ns,,,,,
"syscall_array/0",4903954,142.492,142.491,ns,0,,,,
"syscall_array/8",4356574,161.436,161.436,ns,4.95552e+07,,,,
"syscall_array/16",4304977,163.103,163.1,ns,9.80996e+07,,,,
"syscall_array/24",4317227,162.041,162.044,ns,1.48108e+08,,,,
"syscall_array/32",4294067,163.321,163.314,ns,1.95942e+08,,,,
"syscall_array/40",4310973,162.025,162.028,ns,2.46872e+08,,,,
"syscall_array/48",4315363,162.211,162.209,ns,2.95914e+08,,,,
"syscall_array/56",4315744,161.937,161.936,ns,3.45815e+08,,,,
"syscall_array/64",4369891,160.381,160.382,ns,3.99048e+08,,,,
"syscall_nt",,,,,,,,true,"system call failed!"
