name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"IOCTLFixture/ioctl_noop",5839742,120.375,120.339,ns,,,,,
"IOCTLFixture/ioctl_array/0",4414807,158.534,158.49,ns,0,,,,
"IOCTLFixture/ioctl_array/8",4437884,157.774,157.729,ns,5.07199e+07,,,,
"IOCTLFixture/ioctl_array/16",4308503,162.78,162.728,ns,9.83235e+07,,,,
"IOCTLFixture/ioctl_array/24",4349777,160.971,160.924,ns,1.49139e+08,,,,
"IOCTLFixture/ioctl_array/32",4294901,161.848,161.801,ns,1.97774e+08,,,,
"IOCTLFixture/ioctl_array/40",4307929,162.536,162.489,ns,2.4617e+08,,,,
"IOCTLFixture/ioctl_array/48",4295833,163.081,163.029,ns,2.94425e+08,,,,
"IOCTLFixture/ioctl_array/56",4294361,162.851,162.804,ns,3.43972e+08,,,,
"IOCTLFixture/ioctl_array/64",4293011,163.146,163.098,ns,3.92402e+08,,,,
"IOCTLFixture/ioctl_nt",,,,,,,,true,"ioctl failed!"
