noop,fastcall
1399,1511
840,974
842,977
855,889
782,943
790,887
793,894
798,943
791,903
788,895
788,899
794,894
790,896
800,885
787,931
786,894
787,895
785,889
788,898
789,886
792,899
789,892
789,893
786,889
786,935
785,890
831,896
787,892
789,893
885,889
790,944
786,924
785,894
786,893
796,895
793,925
785,925
787,892
848,926
789,894
787,896
785,888
840,892
789,890
789,928
787,944
789,893
785,896
787,896
785,891
788,896
788,890
794,899
790,891
787,892
838,891
837,894
787,891
787,895
791,942
789,896
788,892
787,895
788,891
791,892
788,889
791,892
796,891
787,895
789,893
839,931
789,943
785,895
787,892
790,896
795,888
793,893
788,892
786,891
792,889
789,894
787,891
787,892
789,942
839,929
790,895
787,893
790,893
792,893
787,891
789,893
785,889
791,893
788,894
785,926
791,941
788,897
786,891
839,891
789,890
788,893
787,888
790,891
787,897
789,892
790,893
788,893
789,892
787,891
785,941
787,896
836,893
790,899
787,891
787,891
787,895
787,892
788,889
787,896
789,887
791,892
787,941
786,895
787,890
788,893
787,893
837,891
789,893
785,897
787,889
789,892
787,888
791,890
837,895
786,946
792,891
786,894
837,929
785,893
787,892
786,894
787,892
785,891
789,892
790,894
787,892
785,942
789,891
787,893
789,896
791,929
796,891
837,892
788,900
785,894
791,895
787,895
788,891
790,945
794,891
787,891
788,889
787,895
793,891
788,895
841,891
789,897
795,893
787,899
785,941
788,893
790,892
787,893
788,892
785,893
793,891
788,896
787,889
790,891
831,924
786,898
789,895
787,942
788,891
788,926
789,894
786,892
792,893
791,899
788,888
787,892
791,888
790,893
789,889
831,893
792,941
785,895
787,929
788,894
788,896
788,900
786,896
787,891
793,893
788,891
787,894
787,892
792,941
830,895
795,891
789,893
790,891
788,892
788,893
791,891
829,891
792,897
788,894
787,929
794,925
786,945
828,897
788,894
791,889
824,893
787,893
792,926
793,897
787,899
788,891
788,891
825,896
787,893
788,951
790,945
834,891
790,896
825,891
789,893
789,891
793,891
787,894
787,895
787,890
785,891
785,930
834,896
801,941
788,893
787,889
832,892
789,890
825,894
788,928
787,895
794,893
789,898
789,946
788,893
796,896
785,900
828,941
789,895
795,894
789,893
787,891
789,893
785,891
788,897
786,890
787,891
787,894
792,928
785,891
785,895
790,941
829,894
786,889
786,891
789,891
788,895
829,892
787,901
789,889
789,892
787,932
790,894
832,891
787,891
788,943
787,892
792,892
789,893
789,889
790,892
792,888
787,895
788,894
790,895
793,891
789,891
832,889
837,892
789,893
792,893
791,894
787,894
793,893
789,892
791,941
787,893
789,888
786,894
789,893
787,896
790,891
828,896
787,890
787,893
792,891
789,895
789,893
787,894
790,895
787,892
787,890
788,894
788,889
785,894
789,888
789,942
835,896
792,892
787,889
786,892
789,892
789,928
791,893
785,896
787,890
785,894
787,941
788,897
787,893
788,894
790,891
835,894
797,891
787,896
792,891
789,892
789,891
787,896
791,889
788,926
788,892
792,897
787,888
786,894
831,941
788,893
786,890
792,893
785,934
787,899
787,893
790,896
788,895
788,894
788,893
786,926
789,891
790,942
788,895
788,893
790,891
787,896
792,891
785,893
787,891
787,894
787,888
785,893
789,891
789,894
790,890
786,942
839,892
790,893
787,893
791,895
796,897
795,899
787,889
787,896
791,889
787,891
790,891
785,896
787,942
788,894
787,929
832,895
798,893
786,898
792,891
791,926
794,892
785,896
787,891
793,891
787,892
787,943
790,889
784,891
833,893
787,894
787,889
787,893
793,894
789,892
787,888
787,896
789,889
789,892
787,941
829,893
785,889
788,891
827,895
790,891
790,891
787,891
788,896
788,897
793,897
785,891
787,890
833,942
789,891
794,893
826,891
791,892
842,894
787,891
792,890
789,894
791,891
785,926
787,895
795,942
787,894
831,894
828,895
791,894
793,925
794,897
787,893
785,896
785,892
786,895
786,889
788,893
792,940
829,897
787,893
785,892
802,893
788,891
796,891
789,892
789,891
788,894
788,892
786,893
788,892
829,942
791,892
793,929
788,892
788,896
795,887
786,898
788,892
787,891
790,890
788,891
790,893
788,949
835,890
791,891
787,927
787,898
785,896
788,895
788,891
786,893
800,890
795,891
786,894
785,893
789,940
789,895
789,892
828,899
788,891
789,892
790,891
788,891
789,891
790,894
788,886
798,898
787,895
789,899
787,926
790,893
791,889
788,896
833,934
787,897
791,896
791,898
790,893
850,941
790,889
791,891
799,888
785,893
793,888
828,892
791,891
829,891
834,891
791,893
789,891
789,943
786,890
790,890
788,893
787,891
788,893
788,892
789,895
785,891
796,890
785,894
830,897
791,891
788,893
786,893
786,891
794,944
787,891
787,891
790,891
789,891
792,927
788,893
788,891
791,893
787,889
786,898
789,889
829,895
829,886
789,893
790,891
788,897
789,927
787,894
788,895
792,896
785,941
787,896
785,935
829,893
789,893
793,894
787,891
787,893
790,893
788,900
788,893
785,891
791,897
787,942
787,929
791,894
792,893
787,893
831,889
790,891
789,893
787,891
787,890
786,893
795,891
787,896
788,941
794,892
792,894
792,891
789,892
791,893
830,893
790,894
789,889
786,893
785,892
789,891
788,941
785,891
789,891
792,894
787,892
786,891
792,889
834,900
787,894
793,892
787,894
789,948
789,894
787,894
786,896
787,891
787,888
788,895
786,927
791,896
835,893
791,893
791,892
796,893
787,896
787,892
790,886
787,892
785,890
788,891
786,891
789,926
790,890
785,898
793,891
833,891
789,941
787,898
789,891
792,892
787,890
788,927
790,891
787,900
788,892
786,934
786,892
786,893
830,941
791,891
786,893
795,895
788,891
787,891
787,932
786,893
787,891
789,890
789,890
789,892
790,892
788,947
788,889
786,893
789,889
787,892
799,889
788,899
795,890
786,893
791,891
791,892
791,893
788,891
786,889
789,895
788,895
785,892
786,891
789,894
792,893
791,892
787,891
785,892
789,891
786,893
830,891
791,893
785,893
788,893
787,890
791,893
787,893
786,891
796,941
787,896
785,889
797,891
788,892
785,892
790,896
830,892
788,891
788,891
787,889
787,894
787,896
790,947
787,889
789,929
787,895
792,897
787,894
789,894
838,892
835,895
794,890
788,894
785,891
787,891
787,889
787,943
788,896
785,891
789,889
789,896
786,893
789,893
787,891
834,944
786,891
787,894
826,889
789,897
827,941
787,891
788,888
789,928
792,896
789,892
790,897
793,896
794,892
790,891
830,885
787,945
786,893
789,891
789,891
788,892
7372,893
789,894
790,891
788,892
787,889
787,892
788,890
793,893
788,889
787,943
787,890
786,892
786,891
787,893
787,891
788,895
789,891
793,926
787,893
