name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"IOCTLFixture/ioctl_noop",5601230,129.34,129.314,ns,,,,,
"IOCTLFixture/ioctl_array/0",4498644,155.631,155.6,ns,0,,,,
"IOCTLFixture/ioctl_array/8",4507994,155.326,155.292,ns,5.15159e+07,,,,
"IOCTLFixture/ioctl_array/16",4351613,161.162,161.128,ns,9.92999e+07,,,,
"IOCTLFixture/ioctl_array/24",4377645,159.941,159.907,ns,1.50087e+08,,,,
"IOCTLFixture/ioctl_array/32",4343765,160.459,160.427,ns,1.99468e+08,,,,
"IOCTLFixture/ioctl_array/40",4345676,161.113,161.08,ns,2.48324e+08,,,,
"IOCTLFixture/ioctl_array/48",4333868,161.551,161.518,ns,2.9718e+08,,,,
"IOCTLFixture/ioctl_array/56",4359936,160.585,160.552,ns,3.48797e+08,,,,
"IOCTLFixture/ioctl_array/64",4345763,161.087,161.052,ns,3.97387e+08,,,,
"IOCTLFixture/ioctl_nt",,,,,,,,true,"ioctl failed!"
